"","Garden","Wild"
"QUAC_wK","71.8% (78)","34.3% (113)"
"QUAC_woK","71.8% (78)","36% (105)"
"ZAIN_og","92.7% (28)","90.7% (70)"
"ZAIN_rebinned","92.7% (28)","90.8% (69)"
