"","Total_Ind","Total_Ind_nomd","MLG","NA"
"AP","pop1",3,3,3
"Arnold","pop2",23,23,22
"Bartlett","pop3",2,2,2
"CBG","pop4",33,32,32
"DBG","pop5",29,29,29
"FGT","pop6",7,4,4
"HBG","pop7",9,9,9
"Meis","pop8",1,1,1
"MBG","pop9",7,4,4
"Moore","pop10",1,1,1
"MA","pop11",10,10,10
"Peckerwood","pop12",12,12,12
"TMA","pop13",146,146,143
"TTA","pop14",1,1,1
"USNA","pop15",2,2,2
"UWBG","pop16",1,1,1
"ZBGP","pop17",2,2,1
