"","Ind","MLG","NAll","All_Rich","Hexp"
"ZFB",35,35,32,2.82,0.442
"ZFBP1",36,36,40,3.32,0.384
"ZFBP2",33,33,35,2.98,0.416
"ZFCC",40,40,31,2.67,0.39
"ZFCNS",39,39,24,2.08,0.241
"ZFCR",40,40,53,4.36,0.63
"ZFENP",37,37,52,4.16,0.509
"ZFFDSP",40,40,30,2.64,0.349
"ZFI",28,28,32,2.76,0.385
"ZFONF1",25,25,32,2.85,0.393
"ZFONF2",40,40,33,2.87,0.373
"ZFO",32,32,32,2.75,0.435
"ZFBP",20,20,19,1.73,0.207
"ZFSW1",23,23,34,3.07,0.467
"ZFSW2",39,39,30,2.47,0.292
"ZFTS",38,38,24,2.18,0.384
"ZFTSP1",45,45,33,2.8,0.435
"ZFTSP2",28,28,35,3.09,0.458
"ZFWB",40,40,36,2.93,0.406
"ZCF",42,42,50,4.21,0.552
