"","before_datacleaning","after_datacleaning"
"MBC",305,303
"MSBG",15,15
"AA",2,2
"HBG",2,2
"FTBG",7,7
"UCBBG",14,13
"GWL",13,13
"HPLG",7,7
"NBG",11,11
"KWTFBG",9,9
"ZFB",35,35
"ZFBP1",36,36
"ZFBP2",33,33
"ZFCC",40,40
"ZFCNS",40,39
"ZFCR",40,40
"ZFENP",37,37
"ZFFDSP",40,40
"ZFI",28,28
"ZFK",15,14
"ZFLB",13,13
"ZFLTI",14,14
"ZFONF1",26,25
"ZFONF2",40,40
"ZFO",32,32
"ZFBP",23,20
"ZFSF",4,4
"ZFSW1",24,23
"ZFSW2",40,39
"ZFTS",40,38
"ZFTSP1",46,45
"ZFTSP2",28,28
"ZFW",6,6
"ZFWB",40,40
"ZCF",42,42
