"","ZFB","ZFBP1","ZFBP2","ZFCC","ZFCNS","ZFCR","ZFENP","ZFFDSP","ZFI","ZFK","ZFLB","ZFLTI","ZFONF1","ZFONF2","ZFO","ZFBP","ZFSF","ZFSW1","ZFSW2","ZFTS","ZFTSP1","ZFTSP2","ZFW","ZFWB","ZCF"
"ZFB",NA,0.4153,0.3962,0.3927,0.5168,0.2103,0.259,0.422,0.2351,0.4608,0.4041,0.4614,0.4445,0.4925,0.3452,0.5037,0.2359,0.2361,0.3233,0.2972,0.4137,0.3724,0.1891,0.3899,0.2618
"ZFBP1",0.4153,NA,0.0323,0.361,0.4167,0.2005,0.2903,0.0496,0.387,0.369,0.4629,0.2275,0.153,0.254,0.2736,0.5785,0.4165,0.3124,0.4696,0.4369,0.1347,0.0698,0.4539,0.3002,0.2866
"ZFBP2",0.3962,0.0323,NA,0.3313,0.4064,0.1831,0.2669,0.071,0.3534,0.3551,0.4272,0.2447,0.1373,0.2221,0.2811,0.55,0.4001,0.2836,0.4272,0.4031,0.1327,0.072,0.4244,0.2535,0.2631
"ZFCC",0.3927,0.361,0.3313,NA,0.3766,0.184,0.2383,0.4039,0.3461,0.343,0.4421,0.336,0.3442,0.3287,0.0959,0.5532,0.4003,0.2854,0.3528,0.3882,0.2935,0.2949,0.3591,0.3054,0.2439
"ZFCNS",0.5168,0.4167,0.4064,0.3766,NA,0.3412,0.3341,0.4584,0.4106,0.4933,0.5538,0.3819,0.4236,0.471,0.3477,0.6876,0.5338,0.4621,0.534,0.536,0.2333,0.2358,0.5049,0.4144,0.327
"ZFCR",0.2103,0.2005,0.1831,0.184,0.3412,NA,0.08,0.2245,0.1795,0.2797,0.2923,0.2333,0.2393,0.2568,0.1392,0.3881,0.1772,0.1052,0.2165,0.2039,0.1861,0.1688,0.1709,0.1443,0.0846
"ZFENP",0.259,0.2903,0.2669,0.2383,0.3341,0.08,NA,0.3402,0.1841,0.2558,0.2577,0.3118,0.3174,0.3761,0.2058,0.3739,0.2625,0.1709,0.2203,0.2251,0.2498,0.2147,0.2266,0.1933,0.031
"ZFFDSP",0.422,0.0496,0.071,0.4039,0.4584,0.2245,0.3402,NA,0.3984,0.4463,0.5095,0.218,0.2201,0.2701,0.3196,0.6208,0.4309,0.3231,0.485,0.4738,0.1542,0.1053,0.4427,0.3311,0.3343
"ZFI",0.2351,0.387,0.3534,0.3461,0.4106,0.1795,0.1841,0.3984,NA,0.4076,0.4306,0.388,0.4059,0.4701,0.3171,0.5704,0.256,0.149,0.1891,0.2864,0.3466,0.3067,0.191,0.295,0.1968
"ZFK",0.4608,0.369,0.3551,0.343,0.4933,0.2797,0.2558,0.4463,0.4076,NA,0.4321,0.41,0.4008,0.4627,0.3539,0.6156,0.4719,0.3825,0.5055,0.4144,0.3513,0.3004,0.5113,0.3481,0.2655
"ZFLB",0.4041,0.4629,0.4272,0.4421,0.5538,0.2923,0.2577,0.5095,0.4306,0.4321,NA,0.5359,0.4849,0.5356,0.4537,0.2104,0.5293,0.4251,0.509,0.3433,0.4296,0.383,0.4517,0.4555,0.2121
"ZFLTI",0.4614,0.2275,0.2447,0.336,0.3819,0.2333,0.3118,0.218,0.388,0.41,0.5359,NA,0.3179,0.3265,0.2578,0.6496,0.4204,0.3627,0.4653,0.4889,0.1314,0.1488,0.415,0.2927,0.2999
"ZFONF1",0.4445,0.153,0.1373,0.3442,0.4236,0.2393,0.3174,0.2201,0.4059,0.4008,0.4849,0.3179,NA,0.1882,0.3093,0.5933,0.4402,0.3422,0.478,0.4421,0.2222,0.1672,0.4477,0.337,0.3039
"ZFONF2",0.4925,0.254,0.2221,0.3287,0.471,0.2568,0.3761,0.2701,0.4701,0.4627,0.5356,0.3265,0.1882,NA,0.3334,0.6204,0.4908,0.3957,0.5333,0.4746,0.2282,0.2354,0.4983,0.3085,0.3514
"ZFO",0.3452,0.2736,0.2811,0.0959,0.3477,0.1392,0.2058,0.3196,0.3171,0.3539,0.4537,0.2578,0.3093,0.3334,NA,0.5389,0.3417,0.2342,0.347,0.383,0.2248,0.2292,0.3213,0.2866,0.2222
"ZFBP",0.5037,0.5785,0.55,0.5532,0.6876,0.3881,0.3739,0.6208,0.5704,0.6156,0.2104,0.6496,0.5933,0.6204,0.5389,NA,0.6457,0.5258,0.6248,0.4656,0.5512,0.5176,0.5351,0.5708,0.3521
"ZFSF",0.2359,0.4165,0.4001,0.4003,0.5338,0.1772,0.2625,0.4309,0.256,0.4719,0.5293,0.4204,0.4402,0.4908,0.3417,0.6457,NA,0.2144,0.3205,0.3517,0.4091,0.3879,0.2761,0.3097,0.2609
"ZFSW1",0.2361,0.3124,0.2836,0.2854,0.4621,0.1052,0.1709,0.3231,0.149,0.3825,0.4251,0.3627,0.3422,0.3957,0.2342,0.5258,0.2144,NA,0.1776,0.2388,0.3364,0.2981,0.1886,0.2828,0.2033
"ZFSW2",0.3233,0.4696,0.4272,0.3528,0.534,0.2165,0.2203,0.485,0.1891,0.5055,0.509,0.4653,0.478,0.5333,0.347,0.6248,0.3205,0.1776,NA,0.3398,0.4395,0.4049,0.2142,0.3578,0.2429
"ZFTS",0.2972,0.4369,0.4031,0.3882,0.536,0.2039,0.2251,0.4738,0.2864,0.4144,0.3433,0.4889,0.4421,0.4746,0.383,0.4656,0.3517,0.2388,0.3398,NA,0.4178,0.3872,0.3476,0.3588,0.2161
