"","locus1","locus2","locus3","locus4","locus5","locus6","locus7","locus8","locus9","locus10","locus11","locus12","locus13","locus14","locus15"
"Observed frequency",-0.000514,0.0384,0.00147,0.132,0.0961,0.0531,0.031,0.0544,0.0975,0.0503,-0.00158,0.0392,0.0308,-0.0125,0.0728
"Median frequency",-0.00166,0.0374,0.00104,0.131,0.0961,0.0524,0.0304,0.0531,0.0968,0.0488,-0.00188,0.0385,0.0297,-0.0133,0.0727
"2.5th percentile",-0.0173,0.0166,-0.00409,0.1,0.0712,0.0307,0.0102,0.0279,0.071,0.0243,-0.0185,0.0106,0.0122,-0.0327,0.0502
"97.5th percentile",0.0155,0.0596,0.0103,0.164,0.122,0.0774,0.0565,0.0812,0.124,0.0782,0.0166,0.0698,0.0483,0.00728,0.0972
