Ind,Population,C1,C2,C3
QAc-G-0029,AP,0.979,0.014,0.007
QAc-G-0030,AP,0.992,0.005,0.004
QAc-G-0031,AP,0.99,0.006,0.003
NA,NA,0,0,0
QAc-G-0061,Arnold,0.991,0.004,0.005
QAc-G-0062,Arnold,0.009,0.274,0.717
QAc-G-0063,Arnold,0.008,0.942,0.05
QAc-G-0064,Arnold,0.005,0.008,0.988
QAc-G-0065,Arnold,0.016,0.004,0.979
QAc-G-0066,Arnold,0.006,0.99,0.004
QAc-G-0067,Arnold,0.037,0.007,0.956
QAc-G-0068,Arnold,0.008,0.757,0.236
QAc-G-0070,Arnold,0.009,0.87,0.121
QAc-G-0071,Arnold,0.007,0.989,0.004
QAc-G-0072,Arnold,0.005,0.99,0.005
QAc-G-0073,Arnold,0.014,0.007,0.98
QAc-G-0074,Arnold,0.007,0.347,0.647
QAc-G-0075,Arnold,0.012,0.017,0.971
QAc-G-0076,Arnold,0.014,0.014,0.972
QAc-G-0077,Arnold,0.985,0.009,0.005
QAc-G-0078,Arnold,0.993,0.004,0.003
QAc-G-0079,Arnold,0.991,0.005,0.004
QAc-G-0080,Arnold,0.737,0.015,0.248
QAc-G-0081,Arnold,0.009,0.011,0.98
QAc-G-0082,Arnold,0.015,0.004,0.981
QAc-G-0083,Arnold,0.068,0.431,0.5
NA,NA,0,0,0
QAc-G-0001,Bartlett,0.99,0.006,0.004
QAc-G-0002,Bartlett,0.993,0.004,0.004
NA,NA,0,0,0
QAc-G-0285,CBG,0.013,0.971,0.015
QAc-G-0286,CBG,0.004,0.992,0.003
QAc-G-0287,CBG,0.004,0.993,0.003
QAc-G-0288,CBG,0.015,0.977,0.008
QAc-G-0289,CBG,0.005,0.991,0.004
QAc-G-0290,CBG,0.004,0.991,0.005
QAc-G-0291,CBG,0.008,0.989,0.003
QAc-G-0292,CBG,0.004,0.945,0.051
QAc-G-0293,CBG,0.008,0.989,0.003
QAc-G-0294,CBG,0.017,0.007,0.976
QAc-G-0295,CBG,0.03,0.022,0.948
QAc-G-0296,CBG,0.005,0.014,0.98
QAc-G-0297,CBG,0.008,0.003,0.989
QAc-G-0298,CBG,0.016,0.007,0.977
QAc-G-0299,CBG,0.011,0.015,0.974
QAc-G-0300,CBG,0.005,0.005,0.99
QAc-G-0301,CBG,0.014,0.023,0.963
QAc-G-0302,CBG,0.005,0.006,0.989
QAc-G-0303,CBG,0.005,0.012,0.983
QAc-G-0304,CBG,0.004,0.992,0.004
QAc-G-0305,CBG,0.136,0.819,0.045
QAc-G-0306,CBG,0.005,0.992,0.003
QAc-G-0307,CBG,0.923,0.022,0.055
QAc-G-0308,CBG,0.973,0.016,0.01
QAc-G-0309,CBG,0.988,0.006,0.006
QAc-G-0310,CBG,0.99,0.005,0.005
QAc-G-0311,CBG,0.993,0.004,0.003
QAc-G-0312,CBG,0.513,0.009,0.478
QAc-G-0313,CBG,0.016,0.036,0.948
QAc-G-0314,CBG,0.01,0.005,0.985
QAc-G-0315,CBG,0.005,0.031,0.963
QAc-G-0316,CBG,0.077,0.016,0.907
NA,NA,0,0,0
QAc-G-0032,DBG,0.007,0.01,0.982
QAc-G-0033,DBG,0.009,0.007,0.984
QAc-G-0034,DBG,0.061,0.008,0.931
QAc-G-0035,DBG,0.01,0.013,0.978
QAc-G-0036,DBG,0.014,0.029,0.957
QAc-G-0037,DBG,0.049,0.039,0.912
QAc-G-0038,DBG,0.003,0.005,0.992
QAc-G-0039,DBG,0.057,0.01,0.933
QAc-G-0040,DBG,0.01,0.032,0.957
QAc-G-0041,DBG,0.006,0.005,0.989
QAc-G-0042,DBG,0.005,0.015,0.98
QAc-G-0043,DBG,0.034,0.016,0.951
QAc-G-0044,DBG,0.005,0.02,0.974
QAc-G-0045,DBG,0.041,0.015,0.944
QAc-G-0046,DBG,0.056,0.005,0.939
QAc-G-0047,DBG,0.054,0.012,0.934
QAc-G-0048,DBG,0.004,0.007,0.989
QAc-G-0049,DBG,0.991,0.006,0.003
QAc-G-0050,DBG,0.22,0.09,0.69
QAc-G-0051,DBG,0.992,0.004,0.003
QAc-G-0052,DBG,0.983,0.005,0.012
QAc-G-0053,DBG,0.984,0.01,0.006
QAc-G-0054,DBG,0.447,0.006,0.547
QAc-G-0055,DBG,0.646,0.006,0.348
QAc-G-0056,DBG,0.034,0.014,0.952
QAc-G-0057,DBG,0.991,0.005,0.004
QAc-G-0058,DBG,0.992,0.004,0.004
QAc-G-0059,DBG,0.724,0.004,0.273
QAc-G-0060,DBG,0.977,0.012,0.011
NA,NA,0,0,0
QAc-G-0276,FGT,0.022,0.963,0.015
QAc-G-0279,FGT,0.007,0.989,0.004
QAc-G-0280,FGT,0.005,0.987,0.008
QAc-G-0281,FGT,0.988,0.007,0.004
NA,NA,0,0,0
QAc-G-0018,HBG,0.058,0.016,0.926
QAc-G-0019,HBG,0.006,0.025,0.969
QAc-G-0020,HBG,0.014,0.005,0.981
QAc-G-0021,HBG,0.017,0.005,0.978
QAc-G-0022,HBG,0.009,0.006,0.985
QAc-G-0023,HBG,0.991,0.005,0.004
QAc-G-0024,HBG,0.991,0.004,0.005
QAc-G-0016,HBG,0.298,0.02,0.682
QAc-G-0017,HBG,0.004,0.013,0.983
NA,NA,0,0,0
QAc-G-0250,Meis,0.045,0.588,0.367
NA,NA,0,0,0
QAc-G-0003,MBG,0.006,0.989,0.005
QAc-G-0004,MBG,0.007,0.005,0.989
QAc-G-0005,MBG,0.009,0.01,0.981
QAc-G-0006,MBG,0.006,0.008,0.987
NA,NA,0,0,0
QAc-G-0283,Moore,0.006,0.012,0.982
NA,NA,0,0,0
QAc-G-0265,MA,0.41,0.039,0.551
QAc-G-0266,MA,0.991,0.006,0.003
QAc-G-0267,MA,0.01,0.045,0.945
QAc-G-0268,MA,0.022,0.64,0.337
QAc-G-0269,MA,0.006,0.991,0.004
QAc-G-0270,MA,0.007,0.015,0.978
QAc-G-0271,MA,0.005,0.006,0.989
QAc-G-0272,MA,0.013,0.083,0.904
