Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0001,/BTRL,Pryor,31.733,NA,Porter,25.968,Magazine,24.645,Sugar_Loaf,17.654
QAc-G-0002,/BTRL,Pryor,32.953,NA,Magazine,23.929,Porter,23.299,Sugar_Loaf,19.82
QAc-G-0003,/MBG,Magazine,27.992,NA,Pryor,27.662,Sugar_Loaf,23.749,Porter,20.597
QAc-G-0004,/MBG,Magazine,31.877,NA,Pryor,26.896,Porter,22.553,Sugar_Loaf,18.674
QAc-G-0005,/MBG,Magazine,31.101,NA,Pryor,26.75,Porter,21.873,Sugar_Loaf,20.275
QAc-G-0006,/MBG,Magazine,30.412,NA,Pryor,27.252,Porter,22.354,Sugar_Loaf,19.982
QAc-G-0010,/TMA,Magazine,35.631,NA,Pryor,25.759,Sugar_Loaf,21.81,Porter,16.799
QAc-G-0011,/TMA,Pryor,31.241,NA,Magazine,29.232,Porter,19.85,Sugar_Loaf,19.677
QAc-G-0015,/TMA,Pryor,32.401,NA,Magazine,29.378,Sugar_Loaf,19.605,Porter,18.616
QAc-G-0016,/HBG,Magazine,32.772,NA,Pryor,25.428,Sugar_Loaf,24.368,Porter,17.432
QAc-G-0017,/HBG,Pryor,29.244,Porter,Magazine,28.756,Sugar_Loaf,22.091,Porter,19.908
QAc-G-0018,/HBG,Pryor,28.514,Porter,Magazine,27.21,Porter,22.625,Sugar_Loaf,21.65
QAc-G-0019,/HBG,Magazine,33.818,Porter,Pryor,25.433,Sugar_Loaf,22.705,Porter,18.044
QAc-G-0020,/HBG,Magazine,28.518,Porter,Pryor,24.779,Porter,24.043,Sugar_Loaf,22.66
QAc-G-0021,/HBG,Magazine,30.275,Pryor,Pryor,25.058,Porter,24.683,Sugar_Loaf,19.984
QAc-G-0022,/HBG,Sugar_Loaf,33.215,Pryor,Magazine,23.823,Pryor,21.968,Porter,20.994
QAc-G-0023,/HBG,Pryor,29.815,Pryor,Magazine,27.312,Porter,22.018,Sugar_Loaf,20.854
QAc-G-0024,/HBG,Pryor,31.265,Pryor,Magazine,28.356,Porter,22.128,Sugar_Loaf,18.251
QAc-G-0025,/USNA,Pryor,32.175,Magazine,Magazine,28.152,Porter,21.469,Sugar_Loaf,18.205
QAc-G-0028,/USNA,Pryor,27.913,Porter,Magazine,25.372,Sugar_Loaf,23.556,Porter,23.159
QAc-G-0029,/AP,Pryor,30.863,Pryor,Magazine,27.218,Porter,21.205,Sugar_Loaf,20.714
QAc-G-0030,/AP,Pryor,35.477,Pryor,Magazine,24.735,Porter,21.458,Sugar_Loaf,18.33
QAc-G-0031,/AP,Pryor,33.391,Pryor,Porter,23.08,Magazine,22.806,Sugar_Loaf,20.722
QAc-G-0032,/DBG,Magazine,36.776,Magazine,Pryor,25.452,Sugar_Loaf,19.612,Porter,18.16
QAc-G-0033,/DBG,Porter,27.269,Porter,Pryor,26.582,Sugar_Loaf,23.876,Magazine,22.273
QAc-G-0034,/DBG,Magazine,36.555,Porter,Pryor,26.343,Sugar_Loaf,20.443,Porter,16.66
QAc-G-0035,/DBG,Pryor,30.853,Porter,Porter,25.061,Magazine,22.456,Sugar_Loaf,21.629
QAc-G-0036,/DBG,Pryor,28.6,Porter,Magazine,25.242,Sugar_Loaf,24.911,Porter,21.246
QAc-G-0037,/DBG,Pryor,28.87,Porter,Magazine,26.447,Porter,24.372,Sugar_Loaf,20.311
QAc-G-0038,/DBG,Porter,27.978,Porter,Sugar_Loaf,25.595,Pryor,23.73,Magazine,22.697
QAc-G-0039,/DBG,Magazine,30.135,Porter,Pryor,29.451,Sugar_Loaf,21.781,Porter,18.633
QAc-G-0040,/DBG,Magazine,34.7,Porter,Pryor,26.207,Sugar_Loaf,20.355,Porter,18.737
QAc-G-0041,/DBG,Porter,26.891,Porter,Pryor,26.586,Sugar_Loaf,23.654,Magazine,22.87
QAc-G-0042,/DBG,Magazine,28.449,Porter,Pryor,25.368,Porter,23.75,Sugar_Loaf,22.433
QAc-G-0043,/DBG,Magazine,28.854,Porter,Pryor,25.447,Sugar_Loaf,24.221,Porter,21.477
QAc-G-0044,/DBG,Porter,26.816,Porter,Pryor,26.591,Magazine,24.373,Sugar_Loaf,22.22
QAc-G-0045,/DBG,Pryor,29.017,Porter,Porter,26.99,Magazine,22.845,Sugar_Loaf,21.148
QAc-G-0046,/DBG,Pryor,30.31,Porter,Magazine,26.244,Sugar_Loaf,22.498,Porter,20.949
QAc-G-0047,/DBG,Pryor,32.899,Porter,Porter,26.491,Magazine,22.276,Sugar_Loaf,18.334
QAc-G-0048,/DBG,Magazine,30.148,Porter,Sugar_Loaf,26.576,Pryor,25.175,Porter,18.1
QAc-G-0049,/DBG,Pryor,32.142,Pryor,Magazine,25.44,Porter,22.74,Sugar_Loaf,19.678
QAc-G-0050,/DBG,Magazine,32.168,Pryor,Pryor,26.676,Sugar_Loaf,23.303,Porter,17.853
QAc-G-0051,/DBG,Pryor,38.74,Pryor,Magazine,22.377,Sugar_Loaf,20.346,Porter,18.537
QAc-G-0052,/DBG,Pryor,29.846,Pryor,Magazine,29.699,Sugar_Loaf,21.749,Porter,18.705
QAc-G-0053,/DBG,Pryor,29.674,Pryor,Magazine,26.655,Sugar_Loaf,23.05,Porter,20.621
QAc-G-0054,/DBG,Magazine,30.294,Pryor,Pryor,26.576,Sugar_Loaf,24.052,Porter,19.078
QAc-G-0055,/DBG,Magazine,33.587,Pryor,Pryor,26.471,Sugar_Loaf,22.225,Porter,17.718
QAc-G-0056,/DBG,Magazine,29.743,Pryor,Pryor,28.28,Sugar_Loaf,21.118,Porter,20.859
QAc-G-0057,/DBG,Pryor,31.719,Pryor,Magazine,28.824,Porter,21.537,Sugar_Loaf,17.92
QAc-G-0058,/DBG,Pryor,35.546,Pryor,Magazine,25.016,Porter,20.754,Sugar_Loaf,18.684
QAc-G-0059,/DBG,Magazine,30.325,Pryor,Pryor,28.741,Sugar_Loaf,23.425,Porter,17.509
QAc-G-0060,/DBG,Pryor,30.761,Pryor,Magazine,25.415,Sugar_Loaf,23.785,Porter,20.039
QAc-G-0061,/AA,Pryor,30.254,NA,Magazine,26.541,Sugar_Loaf,22.746,Porter,20.459
QAc-G-0062,/AA,Magazine,33.84,NA,Pryor,25.726,Sugar_Loaf,21.963,Porter,18.471
QAc-G-0063,/AA,Pryor,29.601,NA,Porter,26.3,Magazine,22.534,Sugar_Loaf,21.566
QAc-G-0064,/AA,Magazine,27.984,Magazine,Pryor,25.755,Sugar_Loaf,24.957,Porter,21.303
QAc-G-0065,/AA,Magazine,30.836,Magazine,Pryor,27.475,Porter,21.503,Sugar_Loaf,20.186
QAc-G-0066,/AA,Pryor,28.955,Magazine,Magazine,27.887,Sugar_Loaf,23.139,Porter,20.019
QAc-G-0067,/AA,Magazine,31.45,Magazine,Pryor,26.704,Porter,21.7,Sugar_Loaf,20.147
QAc-G-0068,/AA,Pryor,28.149,Magazine,Magazine,27.527,Sugar_Loaf,23.402,Porter,20.922
QAc-G-0070,/AA,Magazine,28.508,Magazine,Pryor,27.107,Sugar_Loaf,25.497,Porter,18.888
QAc-G-0071,/AA,Magazine,30.877,Magazine,Pryor,25.895,Sugar_Loaf,23.977,Porter,19.251
QAc-G-0072,/AA,Pryor,29.29,Magazine,Magazine,26.446,Porter,22.351,Sugar_Loaf,21.913
QAc-G-0073,/AA,Magazine,32.018,NA,Pryor,24.832,Sugar_Loaf,23.305,Porter,19.845
QAc-G-0074,/AA,Pryor,30.228,NA,Porter,29.644,Sugar_Loaf,21.42,Magazine,18.708
QAc-G-0075,/AA,Pryor,26.996,NA,Sugar_Loaf,25.972,Magazine,23.86,Porter,23.172
QAc-G-0076,/AA,Porter,27.659,NA,Magazine,25.457,Pryor,24.741,Sugar_Loaf,22.143
QAc-G-0077,/AA,Pryor,32.454,Pryor,Magazine,24.22,Sugar_Loaf,21.665,Porter,21.661
