"","V1"
"QUAC_boudoin_lebrun",41.8
"QUAC_Cavalli_Sforza_Edwards",35.9
"QUAC_Goldstein",59.1
"QUAC_nei_da",37.3
"QUAC_nei_min",32.7
"QUAC_nei_standard",29.5
"QUAC_Paetkau",39.5
"QUAC_rannala_mountain",45
"ZAIN_boudoin_lebrun",2.5
"ZAIN_Cavalli_Sforza_Edwards",13.3
"ZAIN_Goldstein",30.4
"ZAIN_nei_da",7.5
"ZAIN_nei_min",5.83
"ZAIN_nei_standard",9.17
"ZAIN_paetkau",3.33
"ZAIN_rannala_mountain",2.5
