Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0234,/TMA,Pryor,97.381,Porter,Porter,1.712,Magazine,0.907,Sugar_Loaf,0
QAc-G-0235,/TMA,Magazine,83.03,Porter,Pryor,15.645,Sugar_Loaf,1.317,Porter,0.008
QAc-G-0236,/TMA,Magazine,99.974,Porter,Pryor,0.013,Porter,0.012,Sugar_Loaf,0.001
QAc-G-0237,/TMA,Porter,90.497,Porter,Magazine,9.41,Pryor,0.083,Sugar_Loaf,0.009
QAc-G-0238,/TMA,Magazine,99.971,Porter,Sugar_Loaf,0.025,Pryor,0.005,Porter,0
QAc-G-0239,/TMA,Magazine,99.954,Porter,Pryor,0.028,Porter,0.011,Sugar_Loaf,0.007
QAc-G-0240,/TMA,Magazine,97.925,Porter,Sugar_Loaf,1.9,Porter,0.175,Pryor,0
QAc-G-0241,/TMA,Magazine,81.258,Porter,Porter,16.033,Sugar_Loaf,2.704,Pryor,0.004
QAc-G-0242,/TMA,Pryor,98.74,Porter,Porter,0.773,Magazine,0.487,Sugar_Loaf,0
QAc-G-0243,/TMA,Porter,97.388,Porter,Magazine,2.508,Pryor,0.103,Sugar_Loaf,0
QAc-G-0244,/TMA,Magazine,92.104,Porter,Porter,7.895,Pryor,0,Sugar_Loaf,0
QAc-G-0245,/TMA,Magazine,99.992,Porter,Pryor,0.004,Porter,0.002,Sugar_Loaf,0.002
QAc-G-0246,/TMA,Magazine,99.959,Porter,Pryor,0.04,Porter,0.001,Sugar_Loaf,0
QAc-G-0247,/TMA,Magazine,99.912,Porter,Porter,0.081,Pryor,0.006,Sugar_Loaf,0.002
QAc-G-0248,/TMA,Magazine,99.795,NA,Sugar_Loaf,0.129,Porter,0.076,Pryor,0
QAc-G-0249,/TTA,Magazine,67.395,NA,Porter,32.587,Sugar_Loaf,0.016,Pryor,0.003
QAc-G-0250,/MeBG,Magazine,72.484,NA,Porter,19.198,Pryor,8.258,Sugar_Loaf,0.059
QAc-G-0251,/JFG,Magazine,99.574,Porter,Porter,0.346,Pryor,0.07,Sugar_Loaf,0.01
QAc-G-0252,/JFG,Magazine,70.655,Porter,Porter,26.148,Sugar_Loaf,3.167,Pryor,0.03
QAc-G-0253,/JFG,Magazine,75.064,Pryor,Pryor,24.93,Sugar_Loaf,0.004,Porter,0.003
QAc-G-0254,/JFG,Magazine,95.397,Pryor,Pryor,3.58,Porter,1.023,Sugar_Loaf,0
QAc-G-0255,/JFG,Pryor,48.957,Magazine,Sugar_Loaf,35.896,Magazine,14.846,Porter,0.302
QAc-G-0256,/JFG,Magazine,99.997,Magazine,Porter,0.002,Pryor,0.002,Sugar_Loaf,0
QAc-G-0257,/JFG,Porter,72.944,Magazine,Sugar_Loaf,17.568,Magazine,9.302,Pryor,0.187
QAc-G-0258,/JFG,Magazine,99.947,Magazine,Porter,0.031,Sugar_Loaf,0.018,Pryor,0.005
QAc-G-0259,/JFG,Sugar_Loaf,46.365,Magazine,Porter,32.894,Magazine,17.111,Pryor,3.63
QAc-G-0260,/JFG,Porter,99.844,Magazine,Pryor,0.14,Magazine,0.015,Sugar_Loaf,0.001
QAc-G-0261,/JFG,Magazine,90.285,Magazine,Porter,9.669,Pryor,0.046,Sugar_Loaf,0.001
QAc-G-0262,/JFG,Magazine,88.314,Magazine,Porter,10.13,Sugar_Loaf,0.915,Pryor,0.641
QAc-G-0263,/ZBGP,Magazine,98.871,NA,Porter,1.03,Pryor,0.081,Sugar_Loaf,0.018
QAc-G-0265,/MA,Pryor,92.519,NA,Porter,7.385,Magazine,0.051,Sugar_Loaf,0.045
QAc-G-0266,/MA,Magazine,99.998,NA,Porter,0.001,Pryor,0.001,Sugar_Loaf,0
QAc-G-0267,/MA,Pryor,83.509,Magazine,Magazine,16.44,Porter,0.051,Sugar_Loaf,0
QAc-G-0268,/MA,Magazine,98.132,Magazine,Sugar_Loaf,1.181,Pryor,0.483,Porter,0.205
QAc-G-0269,/MA,Magazine,99.979,Magazine,Pryor,0.021,Sugar_Loaf,0,Porter,0
QAc-G-0270,/MA,Porter,95.751,Pryor,Magazine,4.21,Pryor,0.037,Sugar_Loaf,0.002
QAc-G-0271,/MA,Porter,84.035,Pryor,Magazine,15.862,Pryor,0.103,Sugar_Loaf,0
QAc-G-0272,/MA,Magazine,99.96,Pryor,Porter,0.033,Pryor,0.006,Sugar_Loaf,0
QAc-G-0273,/MA,Magazine,97.005,Magazine,Pryor,2.954,Porter,0.04,Sugar_Loaf,0
QAc-G-0274,/MA,Pryor,63.02,Pryor,Porter,36.9,Magazine,0.08,Sugar_Loaf,0
QAc-G-0275,/UWBG,Magazine,99.552,Pyror,Pryor,0.432,Porter,0.015,Sugar_Loaf,0.001
