Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-1,/MBC,CR,5.076,NWS_North,SF,5.046,B,4.728,ZFW,4.643,CF,4.619
TMA-ZAIN-G-2,/MBC,SW,5.312,NWS_North,CR,5.301,CF,4.756,B,4.716,ENP,4.426
TMA-ZAIN-G-3,/MBC,B,5.179,ONF,CR,4.694,ONF,4.61,BP,4.36,ONF,4.27
TMA-ZAIN-G-4,/MBC,B,4.84,NWS_South,CR,4.524,CF,4.473,LB,4.468,BP,4.369
TMA-ZAIN-G-5,/MBC,CR,5.526,NWS_North,CF,4.688,SW,4.63,SF,4.578,B,4.416
TMA-ZAIN-G-6,/MBC,CR,4.807,ONF,B,4.648,TS,4.603,ZFCC,4.378,ZFW,4.302
TMA-ZAIN-G-7,/MBC,TS,4.915,LTI,CF,4.711,CR,4.706,B,4.659,ENP,4.504
TMA-ZAIN-G-8,/MBC,CR,4.988,LTI,B,4.571,SF,4.462,CF,4.387,ZFO,4.246
TMA-ZAIN-G-9,/MBC,ONF,4.95,FDSP,CF,4.725,ENP,4.653,CR,4.605,TS,4.568
TMA-ZAIN-G-10,/MBC,B,5.09,FDSP,TS,4.611,CR,4.611,CF,4.578,ENP,4.41
TMA-ZAIN-G-11,/MBC,CR,4.677,FDSP,CF,4.663,B,4.466,ENP,4.446,TSP,4.375
TMA-ZAIN-G-12,/MBC,B,5.692,FDSP,CR,4.969,CF,4.543,TS,4.383,ONF,4.232
TMA-ZAIN-G-13,/MBC,B,4.622,FDSP,CR,4.542,TSP,4.539,BP,4.535,ONF,4.504
TMA-ZAIN-G-14,/MBC,B,5.452,CNS,CR,4.678,TS,4.658,ENP,4.377,CF,4.269
TMA-ZAIN-G-15,/MBC,B,5.152,CNS,CR,4.872,ZFW,4.586,ZFO,4.54,ZFCC,4.471
TMA-ZAIN-G-16,/MBC,B,5.144,FDSP,TSP,4.554,BP,4.522,CR,4.508,BP,4.504
TMA-ZAIN-G-17,/MBC,CF,4.81,NWS_North,CR,4.782,ENP,4.694,B,4.587,SF,4.256
TMA-ZAIN-G-18,/MBC,SF,5.393,ENP,CR,5.199,CF,4.781,SW,4.771,B,4.625
TMA-ZAIN-G-19,/MBC,TS,5.109,ENP,CF,4.97,B,4.794,CR,4.755,ENP,4.627
TMA-ZAIN-G-20,/MBC,SF,5.226,ENP,CR,5,CF,4.878,B,4.81,TS,4.771
TMA-ZAIN-G-21,/MBC,B,4.715,PB,CR,4.567,CF,4.484,ENP,4.423,LB,4.341
TMA-ZAIN-G-22,/MBC,TS,4.86,TS,CF,4.857,WB,4.847,SF,4.838,CR,4.793
TMA-ZAIN-G-23,/MBC,SW,4.855,TS,TS,4.732,B,4.666,SF,4.619,CR,4.617
TMA-ZAIN-G-24,/MBC,WB,5.508,TS,BP,4.739,CR,4.672,B,4.66,BP,4.507
TMA-ZAIN-G-25,/MBC,CR,5.021,NWS_South,ENP,4.952,CF,4.938,B,4.891,SF,4.629
TMA-ZAIN-G-26,/MBC,B,5.028,OS,CF,4.853,CR,4.701,TSP,4.501,ENP,4.495
TMA-ZAIN-G-27,/MBC,TS,5.667,CR,CF,5.027,ENP,4.936,CR,4.851,B,4.773
TMA-ZAIN-G-28,/MBC,TS,5.438,NWS_North,SF,4.857,CR,4.702,WB,4.489,CF,4.485
TMA-ZAIN-G-29,/MBC,CR,4.838,ONF,B,4.761,SF,4.604,WB,4.596,ONF,4.456
TMA-ZAIN-G-30,/MBC,B,5.015,WB,TS,4.993,CR,4.637,BP,4.402,ONF,4.389
TMA-ZAIN-G-31,/MBC,CR,5.267,W,SW,4.806,CF,4.725,SF,4.684,TS,4.358
TMA-ZAIN-G-32,/MBC,B,4.928,SW,CR,4.749,ONF,4.583,SW,4.466,BP,4.319
TMA-ZAIN-G-33,/MBC,B,4.855,NWS_North,CR,4.789,ONF,4.65,CF,4.452,ENP,4.327
TMA-ZAIN-G-34,/MBC,B,4.915,ONF,ONF,4.748,BP,4.662,CR,4.621,CF,4.268
TMA-ZAIN-G-35,/MBC,B,5.199,ONF,TS,4.716,CR,4.714,ZFW,4.331,SF,4.295
TMA-ZAIN-G-36,/MBC,B,4.919,NWS_North,CR,4.871,CF,4.594,TS,4.515,ENP,4.385
TMA-ZAIN-G-37,/MBC,CR,4.833,SF,B,4.799,CF,4.511,TS,4.474,LB,4.417
TMA-ZAIN-G-38,/MBC,B,5.256,I,CR,4.86,CF,4.516,ONF,4.511,ENP,4.297
TMA-ZAIN-G-39,/MBC,B,5.241,BP,CR,4.857,BP,4.659,BP,4.442,CF,4.367
TMA-ZAIN-G-40,/MBC,B,4.898,BP,CR,4.851,BP,4.74,BP,4.718,TSP,4.624
TMA-ZAIN-G-41,/MBC,B,5.642,TS,ZFO,4.93,CR,4.775,SW,4.342,ENP,4.279
TMA-ZAIN-G-42,/MBC,CR,5.095,TS,ZFO,4.988,B,4.701,ENP,4.528,CF,4.486
TMA-ZAIN-G-43,/MBC,B,5.226,CNS,TS,4.763,CR,4.523,CF,4.292,ZFW,4.257
TMA-ZAIN-G-44,/MBC,CR,4.623,LB,LB,4.585,CF,4.479,TSP,4.416,ENP,4.405
TMA-ZAIN-G-45,/MBC,B,5.341,FDSP,CR,4.952,LB,4.707,CF,4.555,BP,4.497
TMA-ZAIN-G-46,/MBC,CR,4.702,PB,B,4.621,CF,4.592,ENP,4.528,TS,4.453
TMA-ZAIN-G-47,/MBC,CR,4.935,CC,CF,4.64,SF,4.604,B,4.517,ZFO,4.474
TMA-ZAIN-G-48,/MBC,B,4.827,NWS_South,TS,4.695,CR,4.658,CF,4.631,ENP,4.495
TMA-ZAIN-G-49,/MBC,B,5.057,NWS_South,CF,5.004,TS,4.849,CR,4.71,ENP,4.511
TMA-ZAIN-G-50,/MBC,TS,4.767,NWS_South,CR,4.739,CF,4.666,ENP,4.489,B,4.366
TMA-ZAIN-G-51,/MBC,CF,5.167,NWS_South,TS,5.103,B,5.026,CR,4.807,ENP,4.766
TMA-ZAIN-G-52,/MBC,TS,5.694,NWS_South,CF,4.781,LB,4.768,B,4.696,CR,4.656
TMA-ZAIN-G-53,/MBC,CF,5.277,NWS_South,TS,4.669,CR,4.652,WB,4.627,ENP,4.582
TMA-ZAIN-G-54,/MBC,SF,5.037,OS,CR,5.035,ZFO,4.676,CF,4.547,B,4.544
TMA-ZAIN-G-55,/MBC,SF,5.082,OS,CR,4.863,ZFO,4.683,SW,4.567,B,4.531
