Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0001,/BTRL,Magazine,27.197,NA,Pryor,25.129,Porter,24.5,Sugar_Loaf,23.174
QAc-G-0002,/BTRL,Magazine,26.861,NA,Pryor,25.5,Porter,25.052,Sugar_Loaf,22.587
QAc-G-0003,/MBG,Pryor,26.271,NA,Magazine,25.931,Porter,24.816,Sugar_Loaf,22.982
QAc-G-0004,/MBG,Magazine,27.72,NA,Sugar_Loaf,24.567,Pryor,23.928,Porter,23.785
QAc-G-0005,/MBG,Pryor,26.129,NA,Porter,25.738,Magazine,25.035,Sugar_Loaf,23.098
QAc-G-0006,/MBG,Magazine,27.081,NA,Sugar_Loaf,25.497,Porter,24.656,Pryor,22.766
QAc-G-0010,/TMA,Pryor,25.592,NA,Magazine,25.545,Porter,25.084,Sugar_Loaf,23.779
QAc-G-0011,/TMA,Porter,26.109,NA,Pryor,25.501,Magazine,24.641,Sugar_Loaf,23.749
QAc-G-0015,/TMA,Pryor,26.489,NA,Magazine,25.026,Sugar_Loaf,24.427,Porter,24.058
QAc-G-0016,/HBG,Magazine,26.205,NA,Pryor,24.718,Sugar_Loaf,24.707,Porter,24.37
QAc-G-0017,/HBG,Magazine,25.277,Porter,Porter,25.168,Pryor,25.134,Sugar_Loaf,24.421
QAc-G-0018,/HBG,Pryor,26.182,Porter,Magazine,25.643,Porter,24.568,Sugar_Loaf,23.607
QAc-G-0019,/HBG,Pryor,26.436,Porter,Porter,26.165,Magazine,24.748,Sugar_Loaf,22.651
QAc-G-0020,/HBG,Magazine,25.998,Porter,Porter,25.791,Pryor,24.159,Sugar_Loaf,24.052
QAc-G-0021,/HBG,Porter,26.214,Pryor,Magazine,25.586,Sugar_Loaf,24.386,Pryor,23.814
QAc-G-0022,/HBG,Porter,26.299,Pryor,Sugar_Loaf,25.421,Magazine,24.502,Pryor,23.778
QAc-G-0023,/HBG,Pryor,27.121,Pryor,Sugar_Loaf,24.577,Magazine,24.229,Porter,24.073
QAc-G-0024,/HBG,Magazine,25.807,Pryor,Pryor,25.595,Porter,25.232,Sugar_Loaf,23.366
QAc-G-0025,/USNA,Magazine,26.478,Magazine,Pryor,25.465,Porter,24.202,Sugar_Loaf,23.855
QAc-G-0028,/USNA,Pryor,25.955,Porter,Magazine,25.493,Porter,24.526,Sugar_Loaf,24.026
QAc-G-0029,/AP,Magazine,26.756,Pryor,Porter,25.261,Pryor,24.078,Sugar_Loaf,23.905
QAc-G-0030,/AP,Pryor,26.058,Pryor,Magazine,25.667,Porter,24.757,Sugar_Loaf,23.518
QAc-G-0031,/AP,Pryor,26.325,Pryor,Porter,25.381,Magazine,24.995,Sugar_Loaf,23.299
QAc-G-0032,/DBG,Magazine,26.366,Magazine,Pryor,25.27,Sugar_Loaf,24.277,Porter,24.087
QAc-G-0033,/DBG,Magazine,26.26,Porter,Porter,25.354,Pryor,24.83,Sugar_Loaf,23.556
QAc-G-0034,/DBG,Magazine,26.056,Porter,Pryor,25.706,Porter,24.825,Sugar_Loaf,23.413
QAc-G-0035,/DBG,Pryor,26.725,Porter,Magazine,25.839,Porter,24.017,Sugar_Loaf,23.419
QAc-G-0036,/DBG,Porter,26.009,Porter,Pryor,25.873,Sugar_Loaf,24.22,Magazine,23.897
QAc-G-0037,/DBG,Magazine,25.91,Porter,Pryor,24.929,Sugar_Loaf,24.638,Porter,24.523
QAc-G-0038,/DBG,Magazine,26.613,Porter,Sugar_Loaf,24.735,Porter,24.402,Pryor,24.25
QAc-G-0039,/DBG,Sugar_Loaf,25.866,Porter,Porter,25.856,Magazine,24.715,Pryor,23.564
QAc-G-0040,/DBG,Magazine,26.23,Porter,Porter,25.202,Pryor,24.562,Sugar_Loaf,24.006
QAc-G-0041,/DBG,Magazine,26.066,Porter,Pryor,25.965,Porter,24.404,Sugar_Loaf,23.564
QAc-G-0042,/DBG,Magazine,25.626,Porter,Pryor,25.303,Sugar_Loaf,24.682,Porter,24.389
QAc-G-0043,/DBG,Magazine,25.256,Porter,Sugar_Loaf,25.043,Pryor,25.001,Porter,24.7
QAc-G-0044,/DBG,Magazine,25.655,Porter,Pryor,25.482,Porter,25.466,Sugar_Loaf,23.396
QAc-G-0045,/DBG,Pryor,25.868,Porter,Magazine,25.812,Porter,24.699,Sugar_Loaf,23.621
QAc-G-0046,/DBG,Porter,25.778,Porter,Magazine,25.259,Sugar_Loaf,24.9,Pryor,24.063
QAc-G-0047,/DBG,Pryor,25.908,Porter,Magazine,25.08,Porter,24.909,Sugar_Loaf,24.103
QAc-G-0048,/DBG,Porter,25.61,Porter,Sugar_Loaf,25.404,Magazine,25.333,Pryor,23.652
QAc-G-0049,/DBG,Magazine,26.447,Pryor,Pryor,24.868,Porter,24.772,Sugar_Loaf,23.913
QAc-G-0050,/DBG,Magazine,25.746,Pryor,Porter,25.02,Sugar_Loaf,24.987,Pryor,24.247
QAc-G-0051,/DBG,Pryor,26.466,Pryor,Magazine,25.582,Porter,24.397,Sugar_Loaf,23.555
QAc-G-0052,/DBG,Magazine,25.823,Pryor,Pryor,25.651,Porter,24.54,Sugar_Loaf,23.986
QAc-G-0053,/DBG,Magazine,25.935,Pryor,Porter,25.246,Pryor,24.487,Sugar_Loaf,24.332
QAc-G-0054,/DBG,Sugar_Loaf,25.707,Pryor,Pryor,25.125,Magazine,24.771,Porter,24.396
QAc-G-0055,/DBG,Magazine,25.829,Pryor,Sugar_Loaf,25.708,Porter,24.291,Pryor,24.172
QAc-G-0056,/DBG,Magazine,25.912,Pryor,Porter,25.143,Pryor,24.721,Sugar_Loaf,24.224
QAc-G-0057,/DBG,Magazine,26.811,Pryor,Pryor,24.715,Sugar_Loaf,24.356,Porter,24.118
QAc-G-0058,/DBG,Pryor,26.581,Pryor,Porter,25.288,Magazine,25.01,Sugar_Loaf,23.121
QAc-G-0059,/DBG,Magazine,25.726,Pryor,Sugar_Loaf,25.326,Pryor,24.578,Porter,24.37
QAc-G-0060,/DBG,Magazine,26.325,Pryor,Porter,25.941,Sugar_Loaf,24.224,Pryor,23.511
