Ind,Pop,C1,C2,C3,C4,C5,C6
QAc-W-0001,Porter,0.976,0.005,0.004,0.008,0.003,0.005
QAc-W-0002,Porter,0.85,0.029,0.006,0.064,0.014,0.037
QAc-W-0003,Porter,0.924,0.004,0.025,0.008,0.026,0.013
QAc-W-0004,Porter,0.974,0.006,0.008,0.004,0.004,0.004
QAc-W-0005,Porter,0.978,0.006,0.004,0.004,0.005,0.004
QAc-W-0006,Porter,0.976,0.005,0.005,0.006,0.004,0.004
QAc-W-0007,Porter,0.976,0.006,0.004,0.005,0.004,0.005
QAc-W-0008,Porter,0.964,0.009,0.003,0.005,0.004,0.014
QAc-W-0009,Porter,0.312,0.16,0.021,0.141,0.024,0.343
QAc-W-0010,Porter,0.89,0.03,0.006,0.023,0.019,0.032
QAc-W-0011,Porter,0.873,0.007,0.013,0.04,0.03,0.037
QAc-W-0012,Porter,0.969,0.007,0.005,0.007,0.006,0.007
QAc-W-0013,Porter,0.128,0.007,0.121,0.719,0.008,0.017
QAc-W-0014,Porter,0.959,0.014,0.004,0.007,0.009,0.007
QAc-W-0015,Porter,0.231,0.065,0.058,0.163,0.463,0.02
QAc-W-0016,Porter,0.793,0.033,0.028,0.004,0.015,0.127
QAc-W-0017,Porter,0.353,0.212,0.057,0.074,0.228,0.076
QAc-W-0018,Porter,0.759,0.018,0.047,0.017,0.004,0.154
QAc-W-0019,Porter,0.963,0.012,0.007,0.007,0.005,0.006
QAc-W-0020,Porter,0.971,0.005,0.003,0.009,0.005,0.008
QAc-W-0021,Porter,0.721,0.027,0.206,0.02,0.005,0.022
QAc-W-0022,Porter,0.392,0.198,0.068,0.143,0.055,0.144
QAc-W-0023,Porter,0.513,0.142,0.047,0.235,0.006,0.056
QAc-W-0024,Porter,0.787,0.01,0.168,0.009,0.017,0.01
QAc-W-0025,Porter,0.942,0.018,0.015,0.007,0.005,0.014
QAc-W-0026,Porter,0.914,0.02,0.021,0.013,0.022,0.01
QAc-W-0027,Porter,0.966,0.008,0.006,0.008,0.005,0.008
QAc-W-0028,Porter,0.96,0.006,0.004,0.015,0.008,0.007
QAc-W-0029,Porter,0.906,0.007,0.008,0.054,0.003,0.023
QAc-W-0030,Porter,0.429,0.008,0.012,0.019,0.05,0.482
QAc-W-0031,Porter,0.935,0.004,0.041,0.011,0.004,0.005
QAc-W-0032,Porter,0.975,0.009,0.004,0.004,0.003,0.006
QAc-W-0033,Porter,0.784,0.077,0.013,0.025,0.009,0.093
QAc-W-0034,Porter,0.941,0.009,0.008,0.031,0.004,0.007
QAc-W-0035,Porter,0.615,0.027,0.012,0.007,0.034,0.305
QAc-W-0036,Porter,0.965,0.007,0.004,0.014,0.005,0.005
QAc-W-0037,Porter,0.919,0.018,0.014,0.016,0.014,0.019
QAc-W-0038,Porter,0.91,0.009,0.005,0.006,0.047,0.023
QAc-W-0039,Porter,0.927,0.006,0.01,0.021,0.03,0.005
QAc-W-0040,Porter,0.785,0.177,0.016,0.004,0.011,0.008
QAc-W-0041,Porter,0.778,0.011,0.133,0.047,0.007,0.025
NA,NA,0,0,0,0,0,0
QAc-W-0042,Magazine,0.005,0.005,0.004,0.971,0.005,0.008
QAc-W-0043,Magazine,0.006,0.004,0.004,0.971,0.01,0.005
QAc-W-0044,Magazine,0.01,0.023,0.005,0.932,0.022,0.008
QAc-W-0045,Magazine,0.007,0.006,0.005,0.787,0.007,0.188
QAc-W-0046,Magazine,0.005,0.004,0.005,0.978,0.004,0.004
QAc-W-0047,Magazine,0.007,0.008,0.003,0.955,0.021,0.007
QAc-W-0048,Magazine,0.012,0.004,0.004,0.97,0.004,0.007
QAc-W-0049,Magazine,0.007,0.004,0.004,0.975,0.003,0.007
QAc-W-0050,Magazine,0.006,0.032,0.005,0.082,0.004,0.871
QAc-W-0051,Magazine,0.011,0.005,0.01,0.016,0.014,0.945
QAc-W-0052,Magazine,0.316,0.024,0.006,0.589,0.022,0.043
QAc-W-0053,Magazine,0.013,0.01,0.007,0.937,0.005,0.028
QAc-W-0054,Magazine,0.007,0.02,0.007,0.036,0.09,0.84
QAc-W-0055,Magazine,0.005,0.01,0.008,0.008,0.073,0.895
QAc-W-0056,Magazine,0.046,0.009,0.011,0.006,0.01,0.918
