Ind,Pop,C1,C2,C3,C4
QAc-W-0001,Porter,0.005,0.985,0.005,0.005
QAc-W-0002,Porter,0.006,0.92,0.043,0.032
QAc-W-0003,Porter,0.035,0.93,0.03,0.006
QAc-W-0004,Porter,0.009,0.979,0.005,0.007
QAc-W-0005,Porter,0.004,0.984,0.005,0.007
QAc-W-0006,Porter,0.006,0.983,0.005,0.006
QAc-W-0007,Porter,0.005,0.983,0.004,0.007
QAc-W-0008,Porter,0.004,0.979,0.006,0.011
QAc-W-0009,Porter,0.03,0.506,0.225,0.239
QAc-W-0010,Porter,0.006,0.921,0.037,0.036
QAc-W-0011,Porter,0.015,0.921,0.055,0.008
QAc-W-0012,Porter,0.006,0.98,0.006,0.008
QAc-W-0013,Porter,0.13,0.456,0.404,0.009
QAc-W-0014,Porter,0.005,0.97,0.007,0.018
QAc-W-0015,Porter,0.05,0.309,0.576,0.064
QAc-W-0016,Porter,0.038,0.9,0.019,0.043
QAc-W-0017,Porter,0.069,0.253,0.449,0.23
QAc-W-0018,Porter,0.06,0.885,0.034,0.021
QAc-W-0019,Porter,0.007,0.974,0.007,0.013
QAc-W-0020,Porter,0.003,0.984,0.008,0.005
QAc-W-0021,Porter,0.21,0.747,0.013,0.03
QAc-W-0022,Porter,0.064,0.502,0.225,0.209
QAc-W-0023,Porter,0.051,0.765,0.038,0.146
QAc-W-0024,Porter,0.178,0.793,0.016,0.012
QAc-W-0025,Porter,0.015,0.962,0.006,0.017
QAc-W-0026,Porter,0.025,0.933,0.021,0.021
QAc-W-0027,Porter,0.007,0.979,0.007,0.008
QAc-W-0028,Porter,0.004,0.98,0.01,0.006
QAc-W-0029,Porter,0.008,0.971,0.015,0.006
QAc-W-0030,Porter,0.02,0.772,0.199,0.009
QAc-W-0031,Porter,0.034,0.956,0.006,0.005
QAc-W-0032,Porter,0.004,0.984,0.004,0.008
QAc-W-0033,Porter,0.017,0.871,0.034,0.078
QAc-W-0034,Porter,0.008,0.973,0.008,0.011
QAc-W-0035,Porter,0.017,0.886,0.059,0.039
QAc-W-0036,Porter,0.004,0.982,0.006,0.007
QAc-W-0037,Porter,0.017,0.941,0.022,0.02
QAc-W-0038,Porter,0.007,0.941,0.043,0.009
QAc-W-0039,Porter,0.014,0.95,0.03,0.006
QAc-W-0040,Porter,0.019,0.803,0.008,0.17
QAc-W-0041,Porter,0.125,0.84,0.022,0.012
NA,NA,0,0,0,0
QAc-W-0042,Magazine,0.008,0.011,0.975,0.007
QAc-W-0043,Magazine,0.005,0.008,0.979,0.007
QAc-W-0044,Magazine,0.005,0.028,0.948,0.018
QAc-W-0045,Magazine,0.005,0.01,0.977,0.008
QAc-W-0046,Magazine,0.007,0.007,0.98,0.007
QAc-W-0047,Magazine,0.003,0.017,0.966,0.013
QAc-W-0048,Magazine,0.008,0.021,0.964,0.007
QAc-W-0049,Magazine,0.01,0.022,0.956,0.011
QAc-W-0050,Magazine,0.012,0.008,0.918,0.062
QAc-W-0051,Magazine,0.031,0.031,0.93,0.008
QAc-W-0052,Magazine,0.008,0.374,0.606,0.013
QAc-W-0053,Magazine,0.01,0.019,0.945,0.026
QAc-W-0054,Magazine,0.008,0.011,0.969,0.012
QAc-W-0055,Magazine,0.012,0.005,0.97,0.013
QAc-W-0056,Magazine,0.029,0.196,0.755,0.021
QAc-W-0057,Magazine,0.017,0.015,0.958,0.009
QAc-W-0058,Magazine,0.041,0.009,0.944,0.006
QAc-W-0059,Magazine,0.005,0.014,0.973,0.009
QAc-W-0060,Magazine,0.006,0.005,0.98,0.008
QAc-W-0061,Magazine,0.006,0.028,0.941,0.025
QAc-W-0062,Magazine,0.018,0.005,0.96,0.017
QAc-W-0063,Magazine,0.163,0.027,0.778,0.032
QAc-W-0064,Magazine,0.028,0.008,0.951,0.014
QAc-W-0065,Magazine,0.01,0.007,0.967,0.016
QAc-W-0066,Magazine,0.032,0.01,0.953,0.004
QAc-W-0067,Magazine,0.035,0.007,0.931,0.028
QAc-W-0068,Magazine,0.012,0.008,0.974,0.006
QAc-W-0069,Magazine,0.026,0.013,0.956,0.005
QAc-W-0070,Magazine,0.006,0.005,0.984,0.005
QAc-W-0071,Magazine,0.011,0.006,0.975,0.008
QAc-W-0072,Magazine,0.008,0.016,0.868,0.108
QAc-W-0073,Magazine,0.016,0.016,0.95,0.018
QAc-W-0074,Magazine,0.011,0.009,0.963,0.017
QAc-W-0075,Magazine,0.011,0.004,0.98,0.005
QAc-W-0076,Magazine,0.008,0.005,0.941,0.046
QAc-W-0077,Magazine,0.005,0.008,0.98,0.008
NA,NA,0,0,0,0
QAc-W-0078,Pryor,0.887,0.055,0.013,0.045
QAc-W-0079,Pryor,0.979,0.007,0.007,0.007
QAc-W-0080,Pryor,0.954,0.034,0.006,0.006
QAc-W-0081,Pryor,0.983,0.007,0.006,0.005
QAc-W-0082,Pryor,0.747,0.012,0.234,0.007
QAc-W-0083,Pryor,0.969,0.008,0.011,0.012
