Ind,Population,C1,C2,C3
QAc-G-0255,Peckerwood,0.004,0.992,0.004
QAc-G-0256,Peckerwood,0.018,0.974,0.008
QAc-G-0257,Peckerwood,0.004,0.988,0.007
QAc-G-0258,Peckerwood,0.005,0.992,0.003
QAc-G-0259,Peckerwood,0.004,0.993,0.003
QAc-G-0260,Peckerwood,0.063,0.929,0.008
QAc-G-0261,Peckerwood,0.008,0.984,0.007
QAc-G-0262,Peckerwood,0.02,0.969,0.011
NA,NA,0,0,0
QAc-G-0010,TMA,0.964,0.018,0.018
QAc-G-0011,TMA,0.005,0.99,0.005
QAc-G-0015,TMA,0.01,0.069,0.921
QAc-G-0106,TMA,0.004,0.991,0.005
QAc-G-0107,TMA,0.012,0.977,0.011
QAc-G-0108,TMA,0.007,0.99,0.004
QAc-G-0109,TMA,0.006,0.983,0.011
QAc-G-0110,TMA,0.021,0.973,0.006
QAc-G-0111,TMA,0.018,0.975,0.007
QAc-G-0112,TMA,0.076,0.914,0.01
QAc-G-0113,TMA,0.019,0.951,0.031
QAc-G-0114,TMA,0.017,0.976,0.008
QAc-G-0115,TMA,0.007,0.989,0.004
QAc-G-0116,TMA,0.018,0.97,0.012
QAc-G-0117,TMA,0.009,0.978,0.013
QAc-G-0118,TMA,0.005,0.992,0.003
QAc-G-0119,TMA,0.003,0.99,0.007
QAc-G-0120,TMA,0.006,0.986,0.007
QAc-G-0121,TMA,0.004,0.991,0.004
QAc-G-0122,TMA,0.054,0.94,0.006
QAc-G-0123,TMA,0.004,0.993,0.004
QAc-G-0124,TMA,0.005,0.986,0.009
QAc-G-0125,TMA,0.043,0.932,0.025
QAc-G-0126,TMA,0.007,0.96,0.033
QAc-G-0127,TMA,0.006,0.988,0.006
QAc-G-0128,TMA,0.054,0.933,0.013
QAc-G-0129,TMA,0.014,0.981,0.005
QAc-G-0130,TMA,0.006,0.991,0.003
QAc-G-0131,TMA,0.007,0.986,0.007
QAc-G-0132,TMA,0.012,0.977,0.011
QAc-G-0133,TMA,0.011,0.983,0.006
QAc-G-0134,TMA,0.011,0.976,0.013
QAc-G-0135,TMA,0.006,0.985,0.01
QAc-G-0136,TMA,0.02,0.972,0.009
QAc-G-0137,TMA,0.009,0.987,0.005
QAc-G-0138,TMA,0.006,0.978,0.017
QAc-G-0139,TMA,0.005,0.992,0.003
QAc-G-0140,TMA,0.01,0.983,0.007
QAc-G-0141,TMA,0.023,0.954,0.023
QAc-G-0142,TMA,0.005,0.991,0.004
QAc-G-0143,TMA,0.013,0.969,0.018
QAc-G-0144,TMA,0.013,0.977,0.01
QAc-G-0145,TMA,0.992,0.004,0.004
QAc-G-0146,TMA,0.012,0.98,0.008
QAc-G-0147,TMA,0.01,0.984,0.007
QAc-G-0148,TMA,0.009,0.985,0.006
QAc-G-0149,TMA,0.006,0.99,0.004
QAc-G-0150,TMA,0.991,0.004,0.005
QAc-G-0151,TMA,0.018,0.977,0.005
QAc-G-0152,TMA,0.007,0.979,0.013
QAc-G-0153,TMA,0.018,0.978,0.003
QAc-G-0154,TMA,0.014,0.982,0.005
QAc-G-0155,TMA,0.007,0.989,0.004
QAc-G-0158,TMA,0.015,0.975,0.01
QAc-G-0159,TMA,0.014,0.98,0.006
QAc-G-0160,TMA,0.993,0.003,0.004
QAc-G-0161,TMA,0.993,0.003,0.004
QAc-G-0162,TMA,0.74,0.249,0.011
QAc-G-0163,TMA,0.983,0.013,0.003
QAc-G-0164,TMA,0.984,0.006,0.011
QAc-G-0165,TMA,0.988,0.007,0.004
QAc-G-0166,TMA,0.991,0.005,0.005
QAc-G-0167,TMA,0.99,0.005,0.005
QAc-G-0168,TMA,0.992,0.003,0.004
QAc-G-0169,TMA,0.51,0.484,0.006
QAc-G-0170,TMA,0.989,0.005,0.005
QAc-G-0171,TMA,0.991,0.004,0.005
QAc-G-0172,TMA,0.018,0.969,0.013
QAc-G-0173,TMA,0.988,0.004,0.008
QAc-G-0174,TMA,0.943,0.049,0.009
QAc-G-0175,TMA,0.992,0.004,0.005
QAc-G-0176,TMA,0.908,0.076,0.016
QAc-G-0177,TMA,0.991,0.004,0.005
QAc-G-0178,TMA,0.963,0.012,0.025
QAc-G-0179,TMA,0.992,0.003,0.004
QAc-G-0180,TMA,0.993,0.003,0.003
QAc-G-0181,TMA,0.99,0.007,0.003
QAc-G-0182,TMA,0.966,0.029,0.004
QAc-G-0183,TMA,0.989,0.004,0.006
QAc-G-0184,TMA,0.992,0.004,0.004
QAc-G-0185,TMA,0.985,0.009,0.006
QAc-G-0186,TMA,0.991,0.007,0.003
QAc-G-0187,TMA,0.962,0.011,0.026
QAc-G-0188,TMA,0.214,0.782,0.004
QAc-G-0189,TMA,0.992,0.003,0.005
QAc-G-0190,TMA,0.989,0.005,0.006
QAc-G-0191,TMA,0.989,0.005,0.006
QAc-G-0192,TMA,0.993,0.003,0.004
QAc-G-0193,TMA,0.99,0.005,0.005
QAc-G-0194,TMA,0.988,0.006,0.006
QAc-G-0195,TMA,0.901,0.009,0.09
QAc-G-0196,TMA,0.989,0.004,0.007
QAc-G-0197,TMA,0.992,0.003,0.004
QAc-G-0198,TMA,0.992,0.004,0.004
QAc-G-0199,TMA,0.944,0.038,0.018
QAc-G-0200,TMA,0.989,0.007,0.005
QAc-G-0201,TMA,0.992,0.004,0.005
QAc-G-0202,TMA,0.985,0.005,0.01
QAc-G-0203,TMA,0.978,0.006,0.016
QAc-G-0204,TMA,0.988,0.006,0.007
QAc-G-0205,TMA,0.004,0.003,0.993
QAc-G-0206,TMA,0.004,0.105,0.891
QAc-G-0207,TMA,0.009,0.007,0.984
QAc-G-0208,TMA,0.004,0.004,0.992
QAc-G-0209,TMA,0.008,0.004,0.989
QAc-G-0210,TMA,0.003,0.004,0.993
QAc-G-0211,TMA,0.003,0.004,0.993
QAc-G-0212,TMA,0.005,0.004,0.992
QAc-G-0213,TMA,0.005,0.005,0.99
QAc-G-0214,TMA,0.005,0.003,0.991
QAc-G-0215,TMA,0.004,0.004,0.992
QAc-G-0216,TMA,0.167,0.555,0.278
QAc-G-0217,TMA,0.005,0.009,0.985
QAc-G-0218,TMA,0.006,0.006,0.988
QAc-G-0219,TMA,0.011,0.026,0.963
QAc-G-0220,TMA,0.004,0.012,0.984
QAc-G-0221,TMA,0.011,0.018,0.971
QAc-G-0222,TMA,0.005,0.004,0.991
QAc-G-0223,TMA,0.004,0.005,0.991
QAc-G-0224,TMA,0.006,0.004,0.99
QAc-G-0226,TMA,0.004,0.004,0.992
QAc-G-0227,TMA,0.016,0.976,0.008
QAc-G-0228,TMA,0.011,0.971,0.018
QAc-G-0229,TMA,0.014,0.975,0.011
QAc-G-0230,TMA,0.013,0.952,0.035
QAc-G-0231,TMA,0.007,0.004,0.988
QAc-G-0232,TMA,0.004,0.99,0.006
QAc-G-0233,TMA,0.006,0.972,0.022
QAc-G-0234,TMA,0.029,0.961,0.009
QAc-G-0235,TMA,0.01,0.978,0.012
QAc-G-0236,TMA,0.011,0.981,0.008
QAc-G-0237,TMA,0.024,0.955,0.021
QAc-G-0238,TMA,0.015,0.957,0.028
QAc-G-0239,TMA,0.007,0.985,0.008
QAc-G-0240,TMA,0.006,0.99,0.004
QAc-G-0241,TMA,0.016,0.978,0.006
QAc-G-0242,TMA,0.007,0.979,0.014
QAc-G-0243,TMA,0.005,0.984,0.011
QAc-G-0244,TMA,0.016,0.974,0.01
QAc-G-0245,TMA,0.014,0.982,0.005
QAc-G-0246,TMA,0.012,0.979,0.008
QAc-G-0247,TMA,0.005,0.985,0.011
QAc-G-0248,TMA,0.005,0.99,0.005
NA,NA,0,0,0
QAc-G-0249,TTA,0.049,0.933,0.018
NA,NA,0,0,0
QAc-G-0025,USNA,0.005,0.004,0.991
QAc-G-0028,USNA,0.014,0.948,0.038
NA,NA,0,0,0
QAc-G-0275,UWBG,0.013,0.005,0.982
NA,NA,0,0,0
QAc-G-0263,ZBGP,0.498,0.413,0.089
NA,NA,0,0,0
QAc-W-0001,Porter,0.004,0.988,0.008
QAc-W-0002,Porter,0.028,0.965,0.007
QAc-W-0003,Porter,0.013,0.956,0.03
QAc-W-0004,Porter,0.015,0.959,0.026
QAc-W-0005,Porter,0.014,0.979,0.008
QAc-W-0006,Porter,0.01,0.981,0.01
QAc-W-0007,Porter,0.005,0.986,0.008
QAc-W-0008,Porter,0.006,0.99,0.004
QAc-W-0009,Porter,0.02,0.972,0.008
QAc-W-0010,Porter,0.012,0.981,0.008
QAc-W-0011,Porter,0.024,0.961,0.016
QAc-W-0012,Porter,0.015,0.977,0.008
QAc-W-0013,Porter,0.015,0.797,0.188
QAc-W-0014,Porter,0.006,0.988,0.006
QAc-W-0015,Porter,0.116,0.855,0.029
QAc-W-0016,Porter,0.009,0.978,0.013
QAc-W-0017,Porter,0.036,0.935,0.028
QAc-W-0018,Porter,0.004,0.965,0.031
QAc-W-0019,Porter,0.013,0.974,0.013
QAc-W-0020,Porter,0.006,0.99,0.004
QAc-W-0021,Porter,0.02,0.837,0.143
QAc-W-0022,Porter,0.021,0.952,0.027
QAc-W-0023,Porter,0.004,0.982,0.013
QAc-W-0024,Porter,0.063,0.796,0.14
QAc-W-0025,Porter,0.007,0.985,0.008
QAc-W-0026,Porter,0.072,0.879,0.049
QAc-W-0027,Porter,0.016,0.977,0.007
QAc-W-0028,Porter,0.01,0.985,0.005
QAc-W-0029,Porter,0.004,0.987,0.009
QAc-W-0030,Porter,0.02,0.972,0.008
QAc-W-0031,Porter,0.008,0.869,0.123
QAc-W-0032,Porter,0.003,0.991,0.006
QAc-W-0033,Porter,0.009,0.98,0.012
QAc-W-0034,Porter,0.007,0.987,0.006
QAc-W-0035,Porter,0.018,0.967,0.015
QAc-W-0036,Porter,0.006,0.989,0.005
QAc-W-0037,Porter,0.045,0.929,0.025
QAc-W-0038,Porter,0.025,0.969,0.006
QAc-W-0039,Porter,0.099,0.867,0.034
QAc-W-0040,Porter,0.017,0.973,0.01
QAc-W-0041,Porter,0.051,0.795,0.154
NA,NA,0,0,0
QAc-W-0042,Magazine,0.027,0.959,0.015
