"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",61,31,40,20,10,NA,NA,NA,NA
"2 or more copies",59,29,38,20,10,NA,NA,NA,NA
"3 or more copies",56,29,37,18,9,NA,NA,NA,NA
"4 or more copies",56,29,37,18,9,NA,NA,NA,NA
"5 or more copies",56,29,37,18,9,NA,NA,NA,NA
"6 or more copies",56,29,37,18,9,NA,NA,NA,NA
"7 or more copies",52,28,35,16,8,NA,NA,NA,NA
"8 or more copies",49,28,35,16,5,NA,NA,NA,NA
"9 or more copies",48,28,35,15,5,NA,NA,NA,NA
"10 or more copies",48,28,35,15,5,NA,NA,NA,NA
