"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",126,44,72,70,12,NA,NA,NA,NA
"2 or more copies",126,44,72,70,12,NA,NA,NA,NA
"3 or more copies",126,44,72,70,12,NA,NA,NA,NA
"4 or more copies",114,44,72,70,0,NA,NA,NA,NA
"5 or more copies",105,44,72,61,0,NA,NA,NA,NA
"6 or more copies",101,44,72,57,0,NA,NA,NA,NA
"7 or more copies",98,44,72,54,0,NA,NA,NA,NA
"8 or more copies",95,44,72,51,0,NA,NA,NA,NA
"9 or more copies",92,44,72,48,0,NA,NA,NA,NA
"10 or more copies",84,44,72,40,0,NA,NA,NA,NA
