"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",89.2,100,100,90.5,61.5
"2 or more copies",89.2,100,100,90.5,61.5
"3 or more copies",81.5,100,97.3,76.2,46.2
"4 or more copies",81.5,100,97.3,76.2,46.2
"5 or more copies",80,100,97.3,71.4,46.2
"6 or more copies",78.5,100,97.3,71.4,38.5
"7 or more copies",73.8,100,97.3,71.4,15.4
"8 or more copies",70.8,100,97.3,66.7,7.69
"9 or more copies",69.2,100,94.6,61.9,7.69
"10 or more copies",66.2,100,94.6,52.4,7.69
