"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.8649,1,1,0.88,0.6111,NA,NA,NA,NA
"2 or more copies",0.8514,1,1,0.88,0.5556,NA,NA,NA,NA
"3 or more copies",0.8108,1,1,0.84,0.4444,NA,NA,NA,NA
"4 or more copies",0.8108,1,1,0.84,0.4444,NA,NA,NA,NA
"5 or more copies",0.8108,1,1,0.84,0.4444,NA,NA,NA,NA
"6 or more copies",0.8108,1,1,0.84,0.4444,NA,NA,NA,NA
"7 or more copies",0.7703,1,0.9756,0.76,0.3889,NA,NA,NA,NA
"8 or more copies",0.7297,1,0.9756,0.76,0.2222,NA,NA,NA,NA
"9 or more copies",0.7027,1,0.9756,0.72,0.1667,NA,NA,NA,NA
"10 or more copies",0.6892,1,0.9756,0.72,0.1111,NA,NA,NA,NA
