"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","94.6%","100%","100%","90.5%","66.7%","NA%","NA%","NA%","NA%"
"2 or more copies","94.6%","100%","100%","90.5%","66.7%","NA%","NA%","NA%","NA%"
"3 or more copies","92.9%","100%","100%","85.7%","66.7%","NA%","NA%","NA%","NA%"
"4 or more copies","92.9%","100%","100%","85.7%","66.7%","NA%","NA%","NA%","NA%"
"5 or more copies","92.9%","100%","100%","85.7%","66.7%","NA%","NA%","NA%","NA%"
"6 or more copies","92.9%","100%","100%","85.7%","66.7%","NA%","NA%","NA%","NA%"
"7 or more copies","89.3%","100%","97.4%","81%","33.3%","NA%","NA%","NA%","NA%"
"8 or more copies","89.3%","100%","97.4%","81%","33.3%","NA%","NA%","NA%","NA%"
"9 or more copies","89.3%","100%","97.4%","81%","33.3%","NA%","NA%","NA%","NA%"
"10 or more copies","87.5%","100%","97.4%","76.2%","33.3%","NA%","NA%","NA%","NA%"
