"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","91.2% (68)","100% (32)","100% (41)","88% (23)","75% (13)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","91.2% (68)","100% (32)","100% (41)","88% (23)","75% (13)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","86.8% (68)","100% (32)","100% (41)","84% (23)","58.3% (13)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","86.8% (64)","100% (32)","100% (41)","84% (23)","58.3% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","86.8% (62)","100% (32)","100% (41)","84% (23)","58.3% (7)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","86.8% (61)","100% (32)","100% (41)","84% (23)","58.3% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","82.4% (61)","100% (32)","97.6% (41)","76% (23)","50% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","77.9% (60)","100% (32)","97.6% (41)","76% (23)","25% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","75% (59)","100% (32)","97.6% (41)","72% (23)","16.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","73.5% (59)","100% (32)","97.6% (41)","72% (23)","8.33% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
