"","All_Rich","Hexp"
"QUAC_wK",0.714231156743941,0.95207618201896
"QUAC_woK",0.514844245645459,0.947974646799839
"ZAIN_og",0.130315187660705,0.869603200016955
"ZAIN_rebinned",0.130315187660705,0.869603200016955
