"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","91.8%","97.1%","97.5%","95.4%","75%","NA%","NA%","NA%","NA%"
"2 or more copies","89%","94.3%","92.5%","90.9%","75%","NA%","NA%","NA%","NA%"
"3 or more copies","86.3%","94.3%","92.5%","86.4%","68.8%","NA%","NA%","NA%","NA%"
"4 or more copies","86.3%","94.3%","92.5%","86.4%","68.8%","NA%","NA%","NA%","NA%"
"5 or more copies","86.3%","94.3%","92.5%","86.4%","68.8%","NA%","NA%","NA%","NA%"
"6 or more copies","86.3%","94.3%","92.5%","86.4%","68.8%","NA%","NA%","NA%","NA%"
"7 or more copies","78.1%","91.4%","90%","81.8%","43.8%","NA%","NA%","NA%","NA%"
"8 or more copies","74%","91.4%","90%","81.8%","25%","NA%","NA%","NA%","NA%"
"9 or more copies","71.2%","91.4%","90%","81.8%","12.5%","NA%","NA%","NA%","NA%"
"10 or more copies","69.9%","91.4%","90%","81.8%","6.25%","NA%","NA%","NA%","NA%"
