"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","89.7%","100%","100%","95.4%","76.5%","NA%","NA%","NA%","NA%"
"2 or more copies","75.9%","100%","100%","95.4%","41.2%","NA%","NA%","NA%","NA%"
"3 or more copies","72.4%","100%","100%","95.4%","32.4%","NA%","NA%","NA%","NA%"
"4 or more copies","72.4%","100%","100%","95.4%","32.4%","NA%","NA%","NA%","NA%"
"5 or more copies","72.4%","100%","100%","95.4%","32.4%","NA%","NA%","NA%","NA%"
"6 or more copies","72.4%","100%","100%","95.4%","32.4%","NA%","NA%","NA%","NA%"
"7 or more copies","65.5%","100%","100%","90.9%","17.6%","NA%","NA%","NA%","NA%"
"8 or more copies","62.1%","100%","100%","90.9%","8.82%","NA%","NA%","NA%","NA%"
"9 or more copies","59.8%","100%","100%","86.4%","5.88%","NA%","NA%","NA%","NA%"
"10 or more copies","58.6%","100%","100%","86.4%","2.94%","NA%","NA%","NA%","NA%"
