"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","86.5%","100%","100%","88%","61.1%","NA%","NA%","NA%","NA%"
"2 or more copies","85.1%","100%","100%","88%","55.6%","NA%","NA%","NA%","NA%"
"3 or more copies","81.1%","100%","100%","84%","44.4%","NA%","NA%","NA%","NA%"
"4 or more copies","81.1%","100%","100%","84%","44.4%","NA%","NA%","NA%","NA%"
"5 or more copies","81.1%","100%","100%","84%","44.4%","NA%","NA%","NA%","NA%"
"6 or more copies","81.1%","100%","100%","84%","44.4%","NA%","NA%","NA%","NA%"
"7 or more copies","77%","100%","97.6%","76%","38.9%","NA%","NA%","NA%","NA%"
"8 or more copies","73%","100%","97.6%","76%","22.2%","NA%","NA%","NA%","NA%"
"9 or more copies","70.3%","100%","97.6%","72%","16.7%","NA%","NA%","NA%","NA%"
"10 or more copies","68.9%","100%","97.6%","72%","11.1%","NA%","NA%","NA%","NA%"
