"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",55,29,38,24,2,NA,NA,NA,NA
"2 or more copies",55,29,38,24,2,NA,NA,NA,NA
"3 or more copies",55,29,38,24,2,NA,NA,NA,NA
"4 or more copies",53,29,38,24,0,NA,NA,NA,NA
"5 or more copies",49,29,38,20,0,NA,NA,NA,NA
"6 or more copies",48,29,38,19,0,NA,NA,NA,NA
"7 or more copies",46,29,38,17,0,NA,NA,NA,NA
"8 or more copies",46,29,38,17,0,NA,NA,NA,NA
"9 or more copies",46,29,38,17,0,NA,NA,NA,NA
"10 or more copies",43,29,38,14,0,NA,NA,NA,NA
