"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","95%","100%","100%","97.3%","79.2%","NA%","NA%","NA%","NA%"
"2 or more copies","92.1%","100%","100%","96%","66.7%","NA%","NA%","NA%","NA%"
"3 or more copies","88.5%","100%","97.1%","91.9%","58.3%","NA%","NA%","NA%","NA%"
"4 or more copies","84.2%","100%","97.1%","86.5%","50%","NA%","NA%","NA%","NA%"
"5 or more copies","80.6%","100%","97.1%","83.8%","37.5%","NA%","NA%","NA%","NA%"
"6 or more copies","78.4%","100%","97.1%","82.4%","29.2%","NA%","NA%","NA%","NA%"
"7 or more copies","75.5%","100%","95.7%","77%","29.2%","NA%","NA%","NA%","NA%"
"8 or more copies","74.8%","100%","95.7%","75.7%","29.2%","NA%","NA%","NA%","NA%"
"9 or more copies","71.2%","100%","94.3%","71.6%","20.8%","NA%","NA%","NA%","NA%"
"10 or more copies","69.8%","100%","94.3%","70.3%","16.7%","NA%","NA%","NA%","NA%"
