"","Tot_Ind","Half_Sibs","mat_acc"
"AP",3,1,3
"Arnold",22,9,10
"Bartlett",2,1,1
"CBG",32,10,6
"DBG",29,7,3
"FGT",4,2,1
"HBG",9,5,2
"MA",10,5,6
"MBG",4,3,4
"Meise",1,1,1
"Moore",1,1,1
"Peckerwood",12,5,4
"TMA",143,6,10
"TTA",1,1,1
"USNA",2,2,2
"UWBG",1,1,1
"ZBGP",1,1,1
