"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",86.5,100,100,88,61.1
"2 or more copies",85.1,100,100,88,55.6
"3 or more copies",78.4,100,95.1,76,44.4
"4 or more copies",78.4,100,95.1,76,44.4
"5 or more copies",77,100,92.7,72,44.4
"6 or more copies",75.7,100,92.7,72,38.9
"7 or more copies",71.6,100,92.7,64,33.3
"8 or more copies",66.2,100,92.7,60,16.7
"9 or more copies",63.5,100,90.2,56,11.1
"10 or more copies",60.8,100,90.2,48,11.1
