"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",86.5,100,100,88,61.1
"2 or more copies",85.1,100,100,88,55.6
"3 or more copies",81.1,100,100,84,44.4
"4 or more copies",81.1,100,100,84,44.4
"5 or more copies",79.7,100,97.6,80,44.4
"6 or more copies",79.7,100,97.6,80,44.4
"7 or more copies",77,100,97.6,76,38.9
"8 or more copies",70.3,100,97.6,72,16.7
"9 or more copies",67.6,100,95.1,68,11.1
"10 or more copies",66.2,100,95.1,64,11.1
