"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",87,31,36,22,34,NA,NA,NA,NA
"2 or more copies",71,31,36,22,18,NA,NA,NA,NA
"3 or more copies",69,31,36,22,16,NA,NA,NA,NA
"4 or more copies",68,31,36,22,15,NA,NA,NA,NA
"5 or more copies",68,31,36,22,15,NA,NA,NA,NA
"6 or more copies",68,31,36,22,15,NA,NA,NA,NA
"7 or more copies",65,31,36,22,12,NA,NA,NA,NA
"8 or more copies",64,31,36,22,11,NA,NA,NA,NA
"9 or more copies",63,31,36,22,10,NA,NA,NA,NA
"10 or more copies",61,31,36,22,8,NA,NA,NA,NA
