"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","96.2% (128)","100% (42)","100% (71)","98.5% (67)","82.6% (19)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","94.7% (126)","100% (42)","100% (71)","97.1% (66)","78.3% (18)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","91% (121)","100% (42)","97.2% (69)","92.6% (63)","69.6% (16)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","86.5% (115)","100% (42)","97.2% (69)","86.8% (59)","60.9% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","82.7% (110)","100% (42)","97.2% (69)","83.8% (57)","47.8% (11)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","81.2% (108)","100% (42)","97.2% (69)","83.8% (57)","39.1% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","78.2% (104)","100% (42)","94.4% (67)","77.9% (53)","39.1% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","77.4% (103)","100% (42)","94.4% (67)","76.5% (52)","39.1% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","73.7% (98)","100% (42)","93% (66)","73.5% (50)","26.1% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","72.9% (97)","100% (42)","93% (66)","73.5% (50)","21.7% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
