"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",87.5,100,100,86.4,66.7
"2 or more copies",86.1,100,100,86.4,61.1
"3 or more copies",81.9,100,100,86.4,44.4
"4 or more copies",81.9,100,100,86.4,44.4
"5 or more copies",80.6,100,97.4,81.8,44.4
"6 or more copies",80.6,100,97.4,81.8,44.4
"7 or more copies",77.8,100,97.4,81.8,33.3
"8 or more copies",70.8,100,97.4,77.3,11.1
"9 or more copies",68.1,100,94.9,72.7,5.56
"10 or more copies",66.7,100,94.9,68.2,5.56
