"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","84%","96.8%","97.6%","87.5%","60%","NA%","NA%","NA%","NA%"
"2 or more copies","80%","90.3%","92.7%","87.5%","55%","NA%","NA%","NA%","NA%"
"3 or more copies","76%","90.3%","90.2%","79.2%","50%","NA%","NA%","NA%","NA%"
"4 or more copies","76%","90.3%","90.2%","79.2%","50%","NA%","NA%","NA%","NA%"
"5 or more copies","76%","90.3%","90.2%","79.2%","50%","NA%","NA%","NA%","NA%"
"6 or more copies","76%","90.3%","90.2%","79.2%","50%","NA%","NA%","NA%","NA%"
"7 or more copies","70.7%","87.1%","85.4%","70.8%","45%","NA%","NA%","NA%","NA%"
"8 or more copies","66.7%","87.1%","85.4%","70.8%","30%","NA%","NA%","NA%","NA%"
"9 or more copies","65.3%","87.1%","85.4%","66.7%","30%","NA%","NA%","NA%","NA%"
"10 or more copies","65.3%","87.1%","85.4%","66.7%","30%","NA%","NA%","NA%","NA%"
