"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",116,43,72,67,6,NA,NA,NA,NA
"2 or more copies",116,43,72,67,6,NA,NA,NA,NA
"3 or more copies",116,43,72,67,6,NA,NA,NA,NA
"4 or more copies",110,43,72,67,0,NA,NA,NA,NA
"5 or more copies",102,43,72,59,0,NA,NA,NA,NA
"6 or more copies",96,43,72,53,0,NA,NA,NA,NA
"7 or more copies",93,43,72,50,0,NA,NA,NA,NA
"8 or more copies",91,43,72,48,0,NA,NA,NA,NA
"9 or more copies",91,43,72,48,0,NA,NA,NA,NA
"10 or more copies",89,43,72,46,0,NA,NA,NA,NA
