"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.9835,1,1,0.9714,1,NA,NA,NA,NA
"2 or more copies",0.9752,1,1,0.9571,1,NA,NA,NA,NA
"3 or more copies",0.9421,1,0.973,0.9143,0.8333,NA,NA,NA,NA
"4 or more copies",0.9091,1,0.973,0.8571,0.8333,NA,NA,NA,NA
"5 or more copies",0.8843,1,0.973,0.8286,0.6667,NA,NA,NA,NA
"6 or more copies",0.876,1,0.973,0.8143,0.6667,NA,NA,NA,NA
"7 or more copies",0.843,1,0.9459,0.7571,0.6667,NA,NA,NA,NA
"8 or more copies",0.8347,1,0.9459,0.7429,0.6667,NA,NA,NA,NA
"9 or more copies",0.7934,1,0.9324,0.7,0.3333,NA,NA,NA,NA
"10 or more copies",0.7851,1,0.9324,0.6857,0.3333,NA,NA,NA,NA
