"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","100% (116)","100% (42)","100% (71)","100% (68)","100% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","79.3% (92)","73.8% (31)","77.5% (55)","80.9% (55)","100% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","71.6% (83)","71.4% (30)","71.8% (51)","70.6% (48)","83.3% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","65.5% (76)","61.9% (26)","64.8% (46)","66.2% (45)","83.3% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","59.5% (69)","59.5% (25)","59.2% (42)","57.4% (39)","83.3% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","58.6% (68)","57.1% (24)","57.8% (41)","57.4% (39)","83.3% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","54.3% (63)","54.8% (23)","54.9% (39)","52.9% (36)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","53.4% (62)","54.8% (23)","53.5% (38)","51.5% (35)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","50.9% (59)","54.8% (23)","52.1% (37)","47.1% (32)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","50.9% (59)","54.8% (23)","52.1% (37)","47.1% (32)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
