"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","88.4%","96.9%","97.6%","87%","71.4%","NA%","NA%","NA%","NA%"
"2 or more copies","85.5%","90.6%","92.7%","87%","71.4%","NA%","NA%","NA%","NA%"
"3 or more copies","81.2%","90.6%","90.2%","78.3%","64.3%","NA%","NA%","NA%","NA%"
"4 or more copies","81.2%","90.6%","90.2%","78.3%","64.3%","NA%","NA%","NA%","NA%"
"5 or more copies","81.2%","90.6%","90.2%","78.3%","64.3%","NA%","NA%","NA%","NA%"
"6 or more copies","81.2%","90.6%","90.2%","78.3%","64.3%","NA%","NA%","NA%","NA%"
"7 or more copies","75.4%","87.5%","85.4%","69.6%","57.1%","NA%","NA%","NA%","NA%"
"8 or more copies","71%","87.5%","85.4%","69.6%","35.7%","NA%","NA%","NA%","NA%"
"9 or more copies","69.6%","87.5%","85.4%","65.2%","35.7%","NA%","NA%","NA%","NA%"
"10 or more copies","69.6%","87.5%","85.4%","65.2%","35.7%","NA%","NA%","NA%","NA%"
