"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",75,48,55,17,10,NA,NA,NA,NA
"2 or more copies",70,48,55,17,5,NA,NA,NA,NA
"3 or more copies",69,48,55,17,4,NA,NA,NA,NA
"4 or more copies",65,48,55,17,0,NA,NA,NA,NA
"5 or more copies",63,48,55,15,0,NA,NA,NA,NA
"6 or more copies",62,48,55,14,0,NA,NA,NA,NA
"7 or more copies",61,48,55,13,0,NA,NA,NA,NA
"8 or more copies",60,48,55,12,0,NA,NA,NA,NA
"9 or more copies",60,48,55,12,0,NA,NA,NA,NA
"10 or more copies",60,48,55,12,0,NA,NA,NA,NA
