"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.942,1,1,0.9545,0.8125,NA,NA,NA,NA
"2 or more copies",0.942,1,1,0.9545,0.8125,NA,NA,NA,NA
"3 or more copies",0.913,1,1,0.9545,0.6875,NA,NA,NA,NA
"4 or more copies",0.913,1,1,0.9545,0.6875,NA,NA,NA,NA
"5 or more copies",0.913,1,1,0.9545,0.6875,NA,NA,NA,NA
"6 or more copies",0.913,1,1,0.9545,0.6875,NA,NA,NA,NA
"7 or more copies",0.8261,1,1,0.9091,0.375,NA,NA,NA,NA
"8 or more copies",0.7826,1,1,0.9091,0.1875,NA,NA,NA,NA
"9 or more copies",0.7536,1,1,0.8636,0.125,NA,NA,NA,NA
"10 or more copies",0.7391,1,1,0.8636,0.0625,NA,NA,NA,NA
