"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","100% (69)","100% (31)","100% (41)","100% (24)","100% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","84.1% (58)","87.1% (27)","90.2% (37)","91.7% (22)","64.3% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","79.7% (55)","87.1% (27)","90.2% (37)","83.3% (20)","57.1% (8)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","79.7% (55)","87.1% (27)","90.2% (37)","83.3% (20)","57.1% (8)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","79.7% (55)","87.1% (27)","90.2% (37)","83.3% (20)","57.1% (8)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","79.7% (55)","87.1% (27)","90.2% (37)","83.3% (20)","57.1% (8)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","71% (49)","83.9% (26)","82.9% (34)","66.7% (16)","50% (7)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","69.6% (48)","83.9% (26)","82.9% (34)","66.7% (16)","42.9% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","66.7% (46)","83.9% (26)","82.9% (34)","66.7% (16)","28.6% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","66.7% (46)","83.9% (26)","82.9% (34)","66.7% (16)","28.6% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
