"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","100%","100%","100%","100%","100%","NA%","NA%","NA%","NA%"
"2 or more copies","100%","100%","100%","100%","100%","NA%","NA%","NA%","NA%"
"3 or more copies","100%","100%","100%","100%","100%","NA%","NA%","NA%","NA%"
"4 or more copies","96%","100%","100%","100%","58.3%","NA%","NA%","NA%","NA%"
"5 or more copies","89.7%","100%","100%","94.3%","25%","NA%","NA%","NA%","NA%"
"6 or more copies","87.3%","100%","100%","90%","25%","NA%","NA%","NA%","NA%"
"7 or more copies","83.3%","100%","100%","84.3%","16.7%","NA%","NA%","NA%","NA%"
"8 or more copies","82.5%","100%","100%","84.3%","8.33%","NA%","NA%","NA%","NA%"
"9 or more copies","79.4%","100%","100%","78.6%","8.33%","NA%","NA%","NA%","NA%"
"10 or more copies","77.8%","100%","100%","77.1%","0%","NA%","NA%","NA%","NA%"
