"","Per_Halfsibs","Tot_Ind","Per_Halfsibs","Tot_Ind"
"QUAC_wK",0.967509025270758,277,0.895348837209302,172
"QUAC_woK",0.967509025270758,277,0.908536585365854,164
"ZAIN_og",0.994764397905759,382,0.958831341301461,753
"ZAIN_rebinned",0.989528795811518,382,0.958721704394141,751
