"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",60.9,100,85.9,51.5,17.4
"2 or more copies",48.9,92.9,77.5,35.3,8.7
"3 or more copies",40.6,83.3,67.6,25,8.7
"4 or more copies",36.8,78.6,62,20.6,8.7
"5 or more copies",34.6,76.2,57.7,17.6,8.7
"6 or more copies",29.3,71.4,50.7,11.8,4.35
"7 or more copies",29.3,71.4,50.7,11.8,4.35
"8 or more copies",26.3,66.7,46.5,10.3,0
"9 or more copies",25.6,64.3,45.1,10.3,0
"10 or more copies",24.1,61.9,42.3,8.82,0
