"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",74,26,30,21,27,NA,NA,NA,NA
"2 or more copies",69,24,28,19,26,NA,NA,NA,NA
"3 or more copies",68,23,27,19,26,NA,NA,NA,NA
"4 or more copies",64,23,27,18,23,NA,NA,NA,NA
"5 or more copies",62,22,25,17,23,NA,NA,NA,NA
"6 or more copies",61,22,25,17,22,NA,NA,NA,NA
"7 or more copies",61,22,25,17,22,NA,NA,NA,NA
"8 or more copies",60,22,25,17,21,NA,NA,NA,NA
"9 or more copies",59,22,25,17,20,NA,NA,NA,NA
"10 or more copies",59,22,25,17,20,NA,NA,NA,NA
