"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",62,32,41,21,9,NA,NA,NA,NA
"2 or more copies",62,32,41,21,9,NA,NA,NA,NA
"3 or more copies",59,32,41,20,7,NA,NA,NA,NA
"4 or more copies",59,32,41,20,7,NA,NA,NA,NA
"5 or more copies",59,32,41,20,7,NA,NA,NA,NA
"6 or more copies",59,32,41,20,7,NA,NA,NA,NA
"7 or more copies",56,32,40,18,6,NA,NA,NA,NA
"8 or more copies",53,32,40,18,3,NA,NA,NA,NA
"9 or more copies",51,32,40,17,2,NA,NA,NA,NA
"10 or more copies",50,32,40,17,1,NA,NA,NA,NA
