,global,glob_v_com,glob_com,glob_lowfr,glob_rare
1 or more copies,96.4%,100.0%,100.0%,98.6%,83.3%
2 or more copies,94.2%,95.8%,100.0%,97.1%,79.2%
3 or more copies,87.8%,95.8%,97.3%,88.6%,66.7%
4 or more copies,84.2%,95.8%,97.3%,84.3%,58.3%
5 or more copies,82.0%,95.8%,97.3%,82.9%,50.0%
6 or more copies,80.6%,95.8%,97.3%,82.9%,41.7%
7 or more copies,77.7%,95.8%,94.6%,77.1%,41.7%
8 or more copies,77.0%,95.8%,94.6%,75.7%,37.5%
9 or more copies,73.4%,95.8%,93.2%,72.9%,25.0%
10 or more copies,71.9%,95.8%,93.2%,71.4%,20.8%
