"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.8966,1,1,0.9545,0.7647,NA,NA,NA,NA
"2 or more copies",0.7586,1,1,0.9545,0.4118,NA,NA,NA,NA
"3 or more copies",0.7241,1,1,0.9545,0.3235,NA,NA,NA,NA
"4 or more copies",0.7241,1,1,0.9545,0.3235,NA,NA,NA,NA
"5 or more copies",0.7241,1,1,0.9545,0.3235,NA,NA,NA,NA
"6 or more copies",0.7241,1,1,0.9545,0.3235,NA,NA,NA,NA
"7 or more copies",0.6552,1,1,0.9091,0.1765,NA,NA,NA,NA
"8 or more copies",0.6207,1,1,0.9091,0.0882,NA,NA,NA,NA
"9 or more copies",0.5977,1,1,0.8636,0.0588,NA,NA,NA,NA
"10 or more copies",0.5862,1,1,0.8636,0.0294,NA,NA,NA,NA
