"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",54,23,30,21,10,NA,NA,NA,NA
"2 or more copies",49,22,28,19,8,NA,NA,NA,NA
"3 or more copies",46,22,28,17,7,NA,NA,NA,NA
"4 or more copies",43,20,25,16,7,NA,NA,NA,NA
"5 or more copies",43,20,25,16,7,NA,NA,NA,NA
"6 or more copies",43,20,25,16,7,NA,NA,NA,NA
"7 or more copies",41,18,23,16,7,NA,NA,NA,NA
"8 or more copies",39,16,21,16,7,NA,NA,NA,NA
"9 or more copies",37,16,21,15,6,NA,NA,NA,NA
"10 or more copies",36,15,20,15,6,NA,NA,NA,NA
