"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",61,30,33,19,12,NA,NA,NA,NA
"2 or more copies",57,28,31,17,12,NA,NA,NA,NA
"3 or more copies",56,27,30,17,12,NA,NA,NA,NA
"4 or more copies",53,26,29,16,11,NA,NA,NA,NA
"5 or more copies",50,25,27,14,11,NA,NA,NA,NA
"6 or more copies",49,24,26,14,11,NA,NA,NA,NA
"7 or more copies",49,24,26,14,11,NA,NA,NA,NA
"8 or more copies",49,24,26,14,11,NA,NA,NA,NA
"9 or more copies",49,24,26,14,11,NA,NA,NA,NA
"10 or more copies",48,24,26,14,10,NA,NA,NA,NA
