"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",47,104,76,79,8
"2 or more copies",47,104,76,79,8
"3 or more copies",47,104,76,79,7
"4 or more copies",47,104,76,79,7
"5 or more copies",47,104,76,79,7
"6 or more copies",47,104,76,79,6
"7 or more copies",47,104,76,79,6
"8 or more copies",47,104,76,79,6
"9 or more copies",46,104,76,79,5
"10 or more copies",46,104,76,79,5
