"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.9914,1,1,0.9851,1,NA,NA,NA,NA
"2 or more copies",0.9828,1,1,0.9701,1,NA,NA,NA,NA
"3 or more copies",0.9569,1,0.9722,0.9254,1,NA,NA,NA,NA
"4 or more copies",0.9224,1,0.9722,0.8657,1,NA,NA,NA,NA
"5 or more copies",0.8966,1,0.9722,0.8358,0.8333,NA,NA,NA,NA
"6 or more copies",0.8879,1,0.9722,0.8358,0.6667,NA,NA,NA,NA
"7 or more copies",0.8534,1,0.9444,0.7761,0.6667,NA,NA,NA,NA
"8 or more copies",0.8448,1,0.9444,0.7612,0.6667,NA,NA,NA,NA
"9 or more copies",0.8103,1,0.9306,0.7313,0.3333,NA,NA,NA,NA
"10 or more copies",0.8103,1,0.9306,0.7313,0.3333,NA,NA,NA,NA
