"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",115,42,71,67,6,NA,NA,NA,NA
"2 or more copies",114,42,71,66,6,NA,NA,NA,NA
"3 or more copies",111,42,69,63,6,NA,NA,NA,NA
"4 or more copies",107,42,69,59,6,NA,NA,NA,NA
"5 or more copies",104,42,69,57,5,NA,NA,NA,NA
"6 or more copies",103,42,69,57,4,NA,NA,NA,NA
"7 or more copies",99,42,67,53,4,NA,NA,NA,NA
"8 or more copies",98,42,67,52,4,NA,NA,NA,NA
"9 or more copies",94,42,66,50,2,NA,NA,NA,NA
"10 or more copies",94,42,66,50,2,NA,NA,NA,NA
