"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",96.2,100,100,100,91.1
"2 or more copies",94.7,100,100,100,87.5
"3 or more copies",88.7,100,100,97.1,76.8
"4 or more copies",85,100,100,97.1,67.9
"5 or more copies",82.7,100,100,97.1,62.5
"6 or more copies",81.2,100,100,97.1,58.9
"7 or more copies",78.2,100,100,94.2,55.4
"8 or more copies",77.4,100,100,94.2,53.6
"9 or more copies",73.7,100,100,92.8,46.4
"10 or more copies",72.2,100,100,92.8,42.9
