"","QUAC_wK","QUAC_woK","ZAIN_og","ZAIN_rebinned"
"Garden_allSSR",0.614262413259131,0.614262413259131,0.577696650319774,0.577696650319774
"Wild_allSSR",0.597076192118436,0.592102104299139,0.59129402545183,0.59103448346901
"Garden_gSSR",0.670089870827217,0.670089870827217,NA,NA
"Wild_gSSR",0.696434476275824,0.695626072205012,NA,NA
"Garden_EST",0.586348684475088,0.586348684475088,NA,NA
"Wild_EST",0.547397050039742,0.540340120346202,NA,NA
