"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.8764,0.9714,0.975,0.9545,0.7188,NA,NA,NA,NA
"2 or more copies",0.7416,0.9429,0.925,0.9091,0.4062,NA,NA,NA,NA
"3 or more copies",0.7079,0.9429,0.925,0.8636,0.3438,NA,NA,NA,NA
"4 or more copies",0.7079,0.9429,0.925,0.8636,0.3438,NA,NA,NA,NA
"5 or more copies",0.7079,0.9429,0.925,0.8636,0.3438,NA,NA,NA,NA
"6 or more copies",0.7079,0.9429,0.925,0.8636,0.3438,NA,NA,NA,NA
"7 or more copies",0.6404,0.9143,0.9,0.8182,0.2188,NA,NA,NA,NA
"8 or more copies",0.6067,0.9143,0.9,0.8182,0.125,NA,NA,NA,NA
"9 or more copies",0.5843,0.9143,0.9,0.8182,0.0625,NA,NA,NA,NA
"10 or more copies",0.573,0.9143,0.9,0.8182,0.0312,NA,NA,NA,NA
