"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",73,100,100,80,16.7
"2 or more copies",67.6,100,97.6,64,16.7
"3 or more copies",63.5,100,95.1,56,11.1
"4 or more copies",59.5,100,92.7,48,5.56
"5 or more copies",52.7,96.8,85.4,32,5.56
"6 or more copies",50,96.8,82.9,24,5.56
"7 or more copies",50,96.8,82.9,24,5.56
"8 or more copies",48.6,96.8,80.5,20,5.56
"9 or more copies",48.6,96.8,80.5,20,5.56
"10 or more copies",47.3,96.8,80.5,20,0
