"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","100% (68)","100% (31)","100% (41)","100% (24)","100% (12)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","85.3% (58)","80.6% (25)","85.4% (35)","91.7% (22)","83.3% (10)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","80.9% (55)","77.4% (24)","82.9% (34)","87.5% (21)","75% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","80.9% (55)","77.4% (24)","82.9% (34)","87.5% (21)","75% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","80.9% (55)","77.4% (24)","82.9% (34)","87.5% (21)","75% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","80.9% (55)","77.4% (24)","82.9% (34)","87.5% (21)","75% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","72.1% (49)","74.2% (23)","75.6% (31)","75% (18)","66.7% (8)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","70.6% (48)","74.2% (23)","75.6% (31)","75% (18)","58.3% (7)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","67.6% (46)","71% (22)","73.2% (30)","75% (18)","50% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","67.6% (46)","71% (22)","73.2% (30)","75% (18)","50% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
