"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",95.5,100,100,100,89.3
"2 or more copies",92.5,100,100,100,82.1
"3 or more copies",88,100,100,97.1,75
"4 or more copies",85,100,100,97.1,67.9
"5 or more copies",82.7,100,100,97.1,62.5
"6 or more copies",81.2,100,100,97.1,58.9
"7 or more copies",78.2,100,100,94.2,55.4
"8 or more copies",77.4,100,100,94.2,53.6
"9 or more copies",72.2,100,100,91.3,44.6
"10 or more copies",70.7,100,100,89.9,42.9
