"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",80,100,100,85.7,23.1
"2 or more copies",73.8,100,97.3,71.4,15.4
"3 or more copies",69.2,100,97.3,61.9,7.69
"4 or more copies",66.2,100,94.6,57.1,0
"5 or more copies",58.5,96.8,91.9,38.1,0
"6 or more copies",55.4,96.8,91.9,28.6,0
"7 or more copies",55.4,96.8,91.9,28.6,0
"8 or more copies",53.8,96.8,89.2,23.8,0
"9 or more copies",53.8,96.8,89.2,23.8,0
"10 or more copies",53.8,96.8,89.2,23.8,0
