"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","89.2%","100%","100%","100%","70.8%","NA%","NA%","NA%","NA%"
"2 or more copies","89.2%","100%","100%","100%","70.8%","NA%","NA%","NA%","NA%"
"3 or more copies","84.6%","100%","100%","100%","58.3%","NA%","NA%","NA%","NA%"
"4 or more copies","84.6%","100%","100%","100%","58.3%","NA%","NA%","NA%","NA%"
"5 or more copies","84.6%","100%","100%","100%","58.3%","NA%","NA%","NA%","NA%"
"6 or more copies","84.6%","100%","100%","100%","58.3%","NA%","NA%","NA%","NA%"
"7 or more copies","80%","100%","100%","96.9%","50%","NA%","NA%","NA%","NA%"
"8 or more copies","78.5%","100%","100%","96.9%","45.8%","NA%","NA%","NA%","NA%"
"9 or more copies","76.9%","100%","100%","96.9%","41.7%","NA%","NA%","NA%","NA%"
"10 or more copies","75.4%","100%","100%","96.9%","37.5%","NA%","NA%","NA%","NA%"
