"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",1,1,1,1,1,NA,NA,NA,NA
"2 or more copies",0.8294,1,1,1,0.4821,NA,NA,NA,NA
"3 or more copies",0.7647,1,1,1,0.2857,NA,NA,NA,NA
"4 or more copies",0.7176,1,1,1,0.1429,NA,NA,NA,NA
"5 or more copies",0.6706,1,1,0.9429,0.0714,NA,NA,NA,NA
"6 or more copies",0.6529,1,1,0.9,0.0714,NA,NA,NA,NA
"7 or more copies",0.6235,1,1,0.8429,0.0536,NA,NA,NA,NA
"8 or more copies",0.6176,1,1,0.8429,0.0357,NA,NA,NA,NA
"9 or more copies",0.5882,1,1,0.7857,0.0179,NA,NA,NA,NA
"10 or more copies",0.5765,1,1,0.7714,0,NA,NA,NA,NA
