"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",60.9,100,100,81.2,30.4
"2 or more copies",48.9,100,100,69.6,16.1
"3 or more copies",40.6,100,100,59.4,8.93
"4 or more copies",36.8,100,100,53.6,7.14
"5 or more copies",34.6,100,100,49.3,7.14
"6 or more copies",29.3,100,100,42,3.57
"7 or more copies",29.3,100,100,42,3.57
"8 or more copies",26.3,100,100,37.7,1.79
"9 or more copies",25.6,100,100,36.2,1.79
"10 or more copies",24.1,100,100,33.3,1.79
