"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",89.2,100,100,90.5,61.5
"2 or more copies",89.2,100,100,90.5,61.5
"3 or more copies",84.6,100,100,85.7,46.2
"4 or more copies",84.6,100,100,85.7,46.2
"5 or more copies",83.1,100,100,81,46.2
"6 or more copies",83.1,100,100,81,46.2
"7 or more copies",80,100,100,81,30.8
"8 or more copies",75.4,100,100,81,7.69
"9 or more copies",73.8,100,100,76.2,7.69
"10 or more copies",72.3,100,100,71.4,7.69
